Qaraqosh;ka.ʁa.kɔʃ
quadricarrâmes;kwa.dʁi.ka.ʁam
quadricarrât;kwa.dʁi.ka.ʁa
quadricarrâtes;kwa.dʁi.ka.ʁat
quadricarrèrent;kwa.dʁi.ka.ʁɛʁ
quadricarré;kwa.dʁi.ka.ʁe
quadricarrée;kwa.dʁi.ka.ʁe
quadricarrées;kwa.dʁi.ka.ʁe
quadricarrés;kwa.dʁi.ka.ʁe
quadricarra;kwa.dʁi.ka.ʁa
quadricarrai;kwa.dʁi.ka.ʁe
quadricarraient;kwa.dʁi.ka.ʁɛ
quadricarrais;kwa.dʁi.ka.ʁɛ
quadricarrait;kwa.dʁi.ka.ʁɛ
quadricarrant;kwa.dʁi.ka.ʁɑ̃
quadricarras;kwa.dʁi.ka.ʁa
quadricarrasse;kwa.dʁi.ka.ʁas
quadricarrassent;kwa.dʁi.ka.ʁas
quadricarrasses;kwa.dʁi.ka.ʁas
quadricarrassiez;kwa.dʁi.ka.ʁa.sje
quadricarrassions;kwa.dʁi.ka.ʁa.sjɔ̃
quadricarre;kwa.dʁi.kaʁ
quadricarrent;kwa.dʁi.kaʁ
quadricarrer;kwa.dʁi.ka.ʁe
quadricarrera;kwa.dʁi.ka.ʁə.ʁa
quadricarrerai;kwa.dʁi.ka.ʁə.ʁe
quadricarreraient;kwa.dʁi.ka.ʁə.ʁɛ
quadricarrerais;kwa.dʁi.ka.ʁə.ʁɛ
quadricarrerait;kwa.dʁi.ka.ʁə.ʁɛ
quadricarreras;kwa.dʁi.ka.ʁə.ʁa
quadricarrerez;kwa.dʁi.ka.ʁə.ʁe
quadricarreriez;kwa.dʁi.ka.ʁə.ʁje
quadricarrerions;kwa.dʁi.ka.ʁə.ʁjɔ̃
quadricarrerons;kwa.dʁi.ka.ʁə.ʁɔ̃
quadricarreront;kwa.dʁi.ka.ʁə.ʁɔ̃
quadricarres;kwa.dʁi.kaʁ
quadricarrez;kwa.dʁi.ka.ʁe
quadricarriez;kwa.dʁi.ka.ʁje
quadricarrions;kwa.dʁi.ka.ʁjɔ̃
quadricarrons;kwa.dʁi.ka.ʁɔ̃
quadrichromie;kwa.dʁik.ʁɔ.mi
quadrichromies;kwad.ʁik.ʁɔ.mi
quadrichromique;kwa.dʁik.ʁɔ.mik
quadrichromiques;kwa.dʁik.ʁɔ.mik
quadricipital;kwa.dʁi.si.pi.tal
quadricipitale;kwa.dʁi.si.pi.tal
quadricipitales;kwa.dʁi.si.pi.tal
quadricipitaux;kwa.dʁi.si.pi.to
quadricontinental;kwa.dʁi.kɔ̃.ti.nɑ̃.tal
quadricotylédoné;kwa.dʁi.kɔ.ti.ledɔ.ne
quadricuspidé;kwa.dʁi.ky.spi.de
quadricycle;kwa.dʁi.sikl
quadricycles;kwa.dʁi.sikl
quadridenté;kwa.dʁi.dɑ̃.te
quadridentée;kwa.dʁi.dɑ̃.te
quadridentées;kwa.dʁi.dɑ̃.te
quadridentés;kwa.dʁi.dɑ̃.te
quadridigité;kwa.dʁi.di.ʒi.te
quadridimensionnel;kwa.dʁi.di.mɑ̃.sjɔ.nɛl
quadridimensionnelle;kwa.dʁi.di.mɑ̃.sjɔ.nɛl
quadridimensionnelles;kwa.dʁi.di.mɑ̃.sjɔ.nɛl
quadridimensionnels;kwa.dʁi.di.mɑ̃.sjɔ.nɛl
quadriel;ka.dʁi.jɛl
quadriels;ki.lin
quadriennal;kwa.dʁi.je.nal
quadriennale;kwa.dʁi.jɛ.nal
quadriennales;kwa.dʁi.jɛ.nal
quadriennat;ka.dʁi.je.na
quadriennaux;kwa.dʁi.jɛ.no
quadriez;ka.dʁi.je
quadrifascié;kwa.dʁi.fa.sje
quadrifasciée;kwa.dʁi.fa.sje
quadrifasciées;kwa.dʁi.fa.sje
quadrifasciés;kwa.dʁi.fa.sje
quadrifolié;ka.li.fi.ka.tœʁ
quadrifoliolé;kwa.dʁi.fɔ.ljo.le
quadrifurqué;kwa.dʁi.fyʁ.ke
quadrigammé;kwa.dʁi.ɡa.me
quadrige;ka.dʁiʒ
quadrigentesimo;kwa.dʁi.ʒɛ̃.te.zi.mo
quadriges;ka.dʁiʒ
quadrijugué;kwa.dʁi.ʒy.ɡe
quadrijumeau;ka.dʁi.ʒy.mo
quadrijumeaux;ka.dʁi.ʒy.mo
quadrijumelle;ka.dʁi.ʒy.mɛl
quadrijumelles;ka.dʁi.ʒy.mɛl
quadril;ka.dʁa
quadrilatère;kwa.dʁi.la.tɛʁ
quadrilatères;kwad.ʁi.la.tɛʁ
quadrilatéral;kwa.dʁi.la.te.ʁal
quadrilatérale;kwa.dʁi.la.te.ʁal
quadrilatérales;kwa.dʁi.la.te.ʁal
quadrilatéraux;kwa.dʁi.la.te.ʁo
quadrilatero;ka.ʁə.ʁa
quadrilha;ka.dʁa
quadrilingue;kwa.dʁi.lɛ̃ɡ
quadrilingues;kwa.dʁi.lɛ̃ɡ
quadrillâmes;ka.dʁi.jam
quadrillât;ka.dʁi.ja
quadrillâtes;ka.dʁi.jat
quadrillèrent;ka.dʁi.jɛʁ
quadrillé;ka.dʁi.je
quadrillée;ka.dʁi.je
quadrillées;ka.dʁi.je
quadrillés;ka.dʁi.je
quadrilla;ka.dʁi.ja
quadrillage;kad.ʁi.jaʒ
quadrillages;kad.ʁi.jaʒ
quadrillai;ka.dʁi.je
quadrillaient;ka.dʁi.jɛ
quadrillais;ka.dʁi.jɛ
quadrillait;ka.dʁi.jɛ
quadrillant;ka.dʁi.jɑ̃
quadrillas;ka.dʁi.ja
quadrillasse;ka.dʁi.jas
quadrillassent;ka.dʁi.jas
quadrillasses;ka.dʁi.jas
quadrillassiez;ka.dʁi.ja.sje
quadrillassions;ka.dʁi.ja.sjɔ̃
quadrille;ka.dʁij
quadrillent;ka.dʁij
quadriller;ka.dʁi.je
quadrillera;ka.dʁi.jə.ʁa
quadrillerai;ka.dʁi.jə.ʁe
quadrilleraient;ka.dʁi.jə.ʁɛ
quadrillerais;ka.dʁi.jə.ʁɛ
quadrillerait;ka.dʁi.jə.ʁɛ
quadrilleras;ka.dʁi.jə.ʁa
quadrillerez;ka.dʁi.jə.ʁe
quadrilleriez;ka.dʁi.jə.ʁje
quadrillerions;ka.dʁi.jə.ʁjɔ̃
quadrillerons;ka.dʁi.jə.ʁɔ̃
quadrilleront;ka.dʁi.jə.ʁɔ̃
quadrilles;ka.dʁij
quadrillez;ka.dʁi.je
quadrilliard;kwa.dʁi.ljaʁ
quadrilliards;ki.lin
quadrilliez;ka.dʁi.je
quadrillion;kwa.dʁi.ljɔ̃
quadrillions;kwa.dʁi.ljɔ̃
quadrillons;ka.dʁi.jɔ̃
quadrilobé;kwad.ʁi.lɔ.be
quadrilobe;kwa.dʁi.lɔb
quadrilobes;kwa.dʁi.lɔb
quadrilogie;ka.dʁi.lɔ.ʒi
quadrimanes;kwa.dʁi.man
quadrimestre;kwa.dʁi.mɛstʁ
quadrimestrielle;kwa.dʁi.mɛs.tʁi.jɛl
quadrimestrielles;kwa.dʁi.mɛs.tʁi.jɛl
quadrimestriels;kwa.dʁi.mɛs.tʁi.jɛl
quadrimoteur;ka.dʁi.mɔ.tœʁ
quadrinôme;kwa.dʁi.nom
quadrinômes;kwa.dʁi.nom
quadringentesimo;kwa.dʁɛ̃.ʒɛ̃.te.zi.mo
quadrions;ka.dʁi.jɔ̃
quadripétale;kwa.dʁi.pe.tal
quadripétales;kwa.dʁi.pe.tal
quadripôle;ka.dʁi.pol
quadripôles;ka.dʁi.pol
quadriparti;kwa.dʁi.paʁ.ti
quadripartie;kwa.dʁi.paʁ.ti
quadriparties;kwa.dʁi.paʁ.ti
quadripartis;kwa.dʁi.paʁ.ti
quadripartismes;ka.dʁi.paʁ.tism
quadripartite;kwa.dʁi.paʁ.tit
quadripartites;kwa.dʁi.nom
quadripartition;kwa.dʁi.paʁ.ti.sjɔ̃
quadripedo;kʁism
quadriplégie;ka.dʁi.ple.ʒi
quadriplégies;ka.dʁi.ple.ʒi
quadriplan;ka.dʁi.plɑ̃
quadriplani;ka.dʁi.plɑ̃
quadriplano;ka.dʁi.plɑ̃
quadriplans;ka.dʁi.plɑ̃
quadriplex;kad.ʁi.plɛks
quadripodes;kwa.dʁi.pɔd
quadripolaire;kwa.dʁi.pɔ.lɛʁ
quadripolaires;kwa.dʁi.nom
quadripolarisâmes;kwa.dʁi.pɔ.la.ʁi.zam
quadripolarisât;kwa.dʁi.pɔ.la.ʁi.za
quadripolarisâtes;kwa.dʁi.pɔ.la.ʁi.zat
quadripolarisèrent;kwa.dʁi.pɔ.la.ʁi.zɛʁ
quadripolarisé;kwa.dʁi.pɔ.la.ʁi.ze
quadripolarisée;kwa.dʁi.pɔ.la.ʁi.ze
quadripolarisées;kwa.dʁi.pɔ.la.ʁi.ze
quadripolarisés;kwa.dʁi.pɔ.la.ʁi.ze
quadripolarisa;kwa.dʁi.pɔ.la.ʁi.za
quadripolarisai;kwa.dʁi.pɔ.la.ʁi.ze
quadripolarisaient;kwa.dʁi.pɔ.la.ʁi.zɛ
quadripolarisais;kwa.dʁi.pɔ.la.ʁi.zɛ
quadripolarisait;kwa.dʁi.pɔ.la.ʁi.zɛ
quadripolarisant;kwa.dʁi.pɔ.la.ʁi.zɑ̃
quadripolarisas;kwa.dʁi.pɔ.la.ʁi.za
quadripolarisasse;kwa.dʁi.pɔ.la.ʁi.zas
quadripolarisassent;kwa.dʁi.pɔ.la.ʁi.zas
quadripolarisasses;kwa.dʁi.pɔ.la.ʁi.zas
quadripolarisassiez;kwa.dʁi.pɔ.la.ʁi.za.sje
quadripolarisassions;kwa.dʁi.pɔ.la.ʁi.za.sjɔ̃
quadripolarise;kwa.dʁi.pɔ.la.ʁiz
quadripolarisent;kwa.dʁi.pɔ.la.ʁiz
quadripolariser;kwa.dʁi.pɔ.la.ʁi.ze
quadripolarisera;kwa.dʁi.pɔ.la.ʁi.zə.ʁa
quadripolariserai;kwa.dʁi.pɔ.la.ʁi.zə.ʁe
quadripolariseraient;kwa.dʁi.pɔ.la.ʁi.zə.ʁɛ
quadripolariserais;kwa.dʁi.pɔ.la.ʁi.zə.ʁɛ
quadripolariserait;kwa.dʁi.pɔ.la.ʁi.zə.ʁɛ
quadripolariseras;kwa.dʁi.pɔ.la.ʁi.zə.ʁa
quadripolariserez;kwa.dʁi.pɔ.la.ʁi.zə.ʁe
quadripolariseriez;kwa.dʁi.pɔ.la.ʁi.zə.ʁje
quadripolariserions;kwa.dʁi.pɔ.la.ʁi.zə.ʁjɔ̃
quadripolariserons;kwa.dʁi.pɔ.la.ʁi.zə.ʁɔ̃
quadripolariseront;kwa.dʁi.pɔ.la.ʁi.zə.ʁɔ̃
quadripolarises;kwa.dʁi.pɔ.la.ʁiz
quadripolarisez;kwa.dʁi.pɔ.la.ʁi.ze
quadripolarisiez;kwa.dʁi.pɔ.la.ʁi.zje
quadripolarisions;kwa.dʁi.pɔ.la.ʁi.zjɔ̃
quadripolarisons;kwa.dʁi.pɔ.la.ʁi.zɔ̃
quadriponctué;kwa.dʁi.pɔ̃k.tɥe
quadriporteur;kad.ʁi.pɔʁ.tœʁ
quadriporteurs;kad.ʁi.pɔʁ.tœʁ
quadrique;kwa.dʁik
quadriques;kwa.dʁik
quadrirème;ka.dʁi.ʁɛm
quadrirèmes;ka.dʁi.ʁɛm
quadriréacteur;kwa.dʁi.ʁe.ak.tœʁ
quadriréacteurs;kwa.dʁi.nom
quadrireme;ka.dʁi.ʁɛm
quadriremes;ka.dʁi.ʁɛm
quadriremi;ka.dʁi.ʁɛm
quadrirreme;ka.dʁi.ʁɛm
quadrirremes;ka.dʁi.ʁɛm
quadris;kyl.ty.ʁa
quadrisel;kwa.dʁi.sɛl
quadrisulfure;kwa.dʁi.syl.fyʁ
quadrisulfures;kwa.dʁi.syl.fyʁ
quadrisyllabe;kwa.dʁi.si.lab
quadrisyllabes;kwa.dʁi.si.lab
quadrisyllabique;kwa.dʁi.sil.la.bi.k
quadrisyllabiques;kwa.dʁi.si.la.bik
quadrithérapie;kwa.dʁi.te.ʁa.pi
quadrithérapies;kwa.dʁi.te.ʁa.pi
quadrivalent;kwa.dʁi.va.lɑ̃
quadrivalente;kwa.dʁi.va.lɑ̃t
quadrivalentes;kwa.dʁi.va.lɑ̃t
quadrivalents;kwa.dʁi.va.lɑ̃
quadrivalvulé;kwa.dʁi.val.vy.le
quadrivium;kwad.ʁi.vjɔm
quadrivoque;kwa.dʁi.vɔk
quadrivoques;kwa.dʁi.vɔk
quadrons;ka.dʁɔ̃
quadrugby;kwad.ʁyɡ.bi
quadrumanes;kwa.dʁy.man
quadrupède;kwad.ʁy.pɛd
quadrupèdes;kwad.ʁu.pɛd
quadrupédie;kwa.dʁy.pe.di
quadrupédies;kwa.dʁy.pe.di
quadrupédisme;kwa.dʁy.pe.dizm
quadrupédismes;kwa.dʁy.pe.dizm
quadrupede;ka.las
quadruplâmes;kwa.dʁy.plam
quadruplât;kwa.dʁy.pla
quadruplâtes;kwa.dʁy.plat
quadruplèrent;kwa.dʁy.plɛʁ
quadruplé;ka.dʁy.ple
quadruplée;ka.dʁy.ple
quadruplées;ka.dʁy.ple
quadruplés;kwa.dʁy.ple
quadrupla;kwa.dʁy.pla
quadruplai;ka.dʁy.ple
quadruplaient;kwa.dʁy.plɛ
quadruplais;kwa.dʁy.plɛ
quadruplait;kwa.dʁy.plɛ
quadruplant;kwa.dʁy.plɑ̃
quadruplas;kwa.dʁy.pla
quadruplasse;kwa.dʁy.plas
quadruplassent;kwa.dʁy.plas
quadruplasses;kwa.dʁy.plas
quadruplassiez;kwa.dʁy.pla.sje
quadruplassions;kwa.dʁy.pla.sjɔ̃
quadruple;kwa.dʁypl
