PàS;pe.a.ɛs
Packingtonnais;pa.kiɲ.tɔ.nɛ
Paco;pa.ko
Padéma;pa.de.ma
Pad;po
Padang;fa.bʁis
Padanie;pa.da.ni
Pado;po
Padoue;pa.du
Padovien;pa.dɔ.vjɛ̃
Padus;po
Pagastàn;pa.iz
Pagat;pʁi.mo.de.lɛ̃.kɑ̃
PageRank;pɛdʒ.ʁɑ̃k
Paibien;pe.bjɛ̃
Pailhon;pajɔ̃
Pakistaan;pa.iz
Pakistan;pa.kis.tɑ̃
Pakistanais;pa.kis.ta.nɛ
Pakistanaise;pa.kis.ta.nɛz
Pakistanaises;pa.kis.ta.nɛz
Pakistania;pa.iz
Pakitana;pa.iz
Paléoarchéen;pa.le.o.aʁ.ke.ɛ̃
Paléocène;pa.le.ɔ.sɛn
Paléogène;pa.le.ɔ.ʒɛn
Paléolithique;pa.le.ɔ.li.tik
Paléoprotérozoïque;pa.le.op.ʁɔ.te.ʁo.zɔ.ik
Paléozoïque;pa.le.o.zɔ.ik
Palaiseau;pa.lɛ.zo
Palaois;pa.la.wa
Palaos;pa.la.os
Palaosien;pa.la.ɔ.sjɛ̃
Palaosienne;pa.la.ɔ.sjɛn
Palaosiens;pa.la.ɔ.sjɛ̃
Palatin;pa.la.tɛ̃
Palatinat;pa.la.ti.na
Palau;pa.la.o
Palerme;pa.lɛʁm
Palermitain;pa.lɛʁ.mi.tɛ̃
Palermitaine;pa.lɛʁ.mi.tɛn
Palermitaines;pa.lɛʁ.mi.tɛn
Palermitains;pa.lɛʁ.mi.tɛ̃
Palestine;pa.lɛs.tin
Palestinien;pa.lɛs.ti.njɛ̃
Palestinienne;pa.lɛs.ti.njɛn
Palestiniennes;pa.lɛs.ti.njɛn
Palestiniens;pa.lɛs.ti.njɛ̃
Paley;pa.lɛ
Palikir;pa.li.kiʁ
Palinurins;pa.li.ny.ʁɛ̃
Pallène;pal.lɛn
Palladucois;pa.la.dy.kwa
Pallanteum;pa.la.tɛ̃
Pallas;pa.las
Palmarollois;pal.ma.ʁɔ.lwa
Palmassol;pal.ma.sɔl
Palmassolle;pal.ma.sɔl
Palmassolles;pal.ma.sɔl
Palmassols;pal.ma.sɔl
Paloise;pa.lwaz
Paloises;pa.lwaz
Palombie;pa.lɔ̃.bi
Palucéens;pa.ly.se.ɛ̃
Palus;pa.lys
Pama;pa.ma
Pamiers;pa.mje
Pamuk;pa.myk
Panétois;pa.ne.twa
Pan;pɑ̃
Panamègne;pa.na.mɛɲ
Panamègnes;pa.na.mɛɲ
Panaméen;pa.na.me.ɛ̃
Panaméenne;pa.na.me.ɛn
Panaméennes;pa.na.me.ɛn
Panaméens;pa.na.me.ɛ̃
Panama;pa.na.ma
Panamaa;pa.iz
Panamaborg;pa.iz
Panamanien;pa.na.ma.njɛn
Panamanienne;pa.na.ma.njɛn
Panamaniennes;pa.na.ma.njɛn
Panamaniens;pa.na.ma.njɛn
Paname;pa.nam
Panamurbo;pa.iz
Panazol;pa.na.zɔl
Pandémonium;pɑ̃.de.mɔ.njɔm
Pandanées;pɑ̃.da.ne
Pandanacées;pɑ̃.da.na.se
Pandavas;pɑ̃n.da.va
Pandore;pɑ̃.dɔʁ
Pangée;pɑ̃.ʒe
Pangaea;paf
Pangeo;paf
Pannonië;pʁe.zɑ̃.sje
Pannonie;pa.nɔ.ni
Pannonien;pa.nɔ.ni
Pannonique;pa.nɔ.nik
Panographie;pa.nɔo.ɡʁa.fi
Panonio;pʁe.zɑ̃.sje
Pantagruel;pɑ̃.ta.ɡʁu.ɛl
Panthère;pɑ̃.tɛʁ
Panthéon;pɑ̃.te.ɔ̃
Pantin;pɑ̃.tɛ̃
Pantruche;pɑ̃.tʁyʃ
Panurge;pa.nyʁʒ
Pao;pa.o
Paola;pao.la
Paolo;pao.lo
Paon;pɑ̃
Papalugrain;pa.pa.ly.ɡʁɛ̃
Papeete;pa.pɛte
Papiamentu;pa.pja.mɑ̃.ty
Papier;ply.to
Papineauvillois;pa.pi.no.vi.lwa
Papinou;pa.pi.nu
Papou;pa.pu
Papouasie;pa.pwa.zi
Papoue;pa.pu
Papoues;pa.pu
Papous;pa.pu
Paprika;pap.ʁi.ka
Paquettevillien;pa.kɛt.vi.ljɛ̃
Paquistan;pa.iz
Paréen;pa.ʁe.ɛ̃
Parésien;pa.ʁe.sjɛ̃
Paracel;pa.ʁa.sɛl
Paradeiser;pʁɔ.tɔ̃
Paradies;pɔʁ.to
Paraguéen;pa.ʁa.ɡɥe.ɛ̃
Paraguéenne;pa.ʁa.ɡɥe.ɛn
Paraguéennes;pa.ʁa.ɡɥe.ɛn
Paraguéens;pa.ʁa.ɡɥe.ɛ̃
Paraguay;pa.ʁa.ɡwɛ
Paraguayen;pa.ʁa.ɡwa.jɛ̃
Paraguayenne;pa.ʁa.ɡwa.jɛn
Paraguayennes;pa.ʁa.ɡwa.jɛn
Paraguayens;pa.ʁa.ɡwa.jɛ̃
Paramaka;pa.ʁa.ma.ka
Paramakas;pa.ʁa.ma.ka
Paramaribo;pa.ʁa.ma.ʁi.bo
Parapet;pa.ʁa.pɛ
Paraphrase;pɔ.li.ɑ̃.di.kap
Parawissenschaft;pɔ.li.ɑ̃.di.kap
Pardon;paʁ.dɔ̃
Parent;pa.ʁɑ̃
Parentois;pa.ʁɑ̃.twa
Parfait;paʁ.fɛ
Parigot;pa.ʁi.ɡo
Parigote;pa.ʁi.ɡɔt
Parigotes;pa.ʁi.ɡɔt
Parigots;pa.ʁi.ɡo
Pariisi;pœʁ
Paris;pa.ʁi
Parisien;pa.ʁi.zjɛ̃
Parisienne;pa.ʁi.zjɛn
Parisine;pa.ʁi.zin
Parisvillois;pa.ʁi.vi.lwa
Pariz;pœʁ
Park;paʁk
Parker;paʁ.kœʁ
Parkett;pɔ.li.nez.jɛ̃
Parkuhr;pɔ.li.nez.jɛ̃
Parlan;paʁ.lɑ̃
Parlement;paʁ.lə.mɑ̃
Parma;paʁm
Parmain;paʁ.mɛ̃
Parme;paʁm
Parmentier;paʁ.mɑ̃.tje
Paronychiées;pa.ʁɔ.nikje
Paropanisadae;pa.ʃa.lɛsk
Paroxysmus;plat
Parque;paʁk
Parques;paʁk
Parterre;pɔ.li.nez.jɛ̃
Parthénon;paʁ.te.nɔ̃
Parthenay;paʁ.tə.nɛ
Pascal;pas.kal
Pascale;pas.kal
Pascalien;pas.ka.ljɛ̃
Pascalin;pas.ka.lɛ̃
Pascaline;pas.ka.lin
Pascalois;pas.ka.lwa
Pascua;pɑk
Pascuan;pas.kuɑ̃
Pasino;pa.zi.no
Pasinos;pa.ʁi.te
Pasiphaé;pa.zi.fa.e
Paskah;pɑk
Paspéya;pas.pe.ja
Paspaya;pas.pa.ja
Pasquill;paʁ.dɔ̃
Passais;pa.sɛ
Passarell;pɔ̃
Passion;pa.sjɔ̃
Passions;pasp.la
Passoré;pa.sɔ.ʁe
Passwort;pɔ.li.nez.jɛ̃
Passy;pa.si
Pastafarianism;pas.ta.fa.ʁism
Pastafarians;pus.ta
Pasteurisation;pas.tœ.ʁi.za.sjɔ̃
Pastis;pas.tis
Patagoanje;pa.ta.ɡɔ.ni
Patagonië;pa.ta.ɡɔ.ni
Patagonia;pa.ta.ɡɔ.ni
Patagonie;pa.ta.ɡɔ.ni
Patagonija;pa.ta.ɡɔ.ni
Patagonio;pa.ta.ɡɔ.ni
Patagonya;pa.ta.ɡɔ.ni
Pataqunya;pa.ta.ɡɔ.ni
Patent;pɔ.li.nez.jɛ̃
Patriçois;pa.tʁi.swa
Patrice;pa.tʁis
Patricia;pa.tʁi.sja
Patricien;pa.tʁi.sjɛ̃
Patrick;pa.tʁik
Patt;pɔ.li.nez.jɛ̃
Pau;po
Pauillacaise;po.ja.kɛz
Pauléen;po.le.ɛ̃
Paul;pɔl
Paula;po.la
Paulacquois;pɔ.la.kwa
Paule;pol
Paulette;pɔ.lɛt
Paulianus;pɔ.li.ni.ze
Paulinétol;po.li.ne.tɔl
Paulinétolle;po.li.ne.tɔl
Paulinétolles;po.li.ne.tɔl
Paulinétols;po.li.ne.tɔl
Paulin;pɔ.lɛ̃
Paulina;po.li.na
Pauline;pɔ.lin
Paulinien;po.li.njɛ̃
Paulinoix;po.li.nwa
Paulinus;pɔ.li.ni.ze
Pauliste;po.list
Paulla;pɔlys
Paullus;pav.li.na
Paulo;pɔ.lo
Paulois;pɔ.lwa
Paulus;pɔlys
Paulx;po
Pauly;po.li
Pauvres;povʁ
Pavel;pa.vɛl
Pavlina;pav.li.na
Pavlovien;pav.lɔ.vjɛ̃
Payet;pa.jɛt
Peaugroises;poɡʁwaz
Pechenegs;paʁ.da.lɔt
Pecq;pɛk
Pecqueuse;pɛ.køz
Pedal;pɔ.li.nez.jɛ̃
Pedant;pɔ.li.nez.jɛ̃
Pedemontium;pje.mɔ̃
Peeters;pe.tɛʁs
Peintre;pɛ̃tʁ
Peio;pe.jo
Pekîn;fʁɑ̃.kɔ.sɑ̃.tʁism
Pella;pɛ.la
Pelle;pɔ.li.nez.jɛ̃
Penjab;pɛn.ʒab
Pennatuliens;pɛ.na.ty.ljɛ̃
Pennedepie;pɛn.də.pi
Pennol;pɛ.nɔl
Pennolle;pɛ.nɔl
Pennolles;pɛ.nɔl
Pennols;pɛ.nɔl
Pennsylvanie;pɛn.sil.va.ni
Pentagone;pɛ̃.ta.ɡon
Pentateuque;pɛ̃.ta.tøk
Pentecôte;pɑ̃t.kot
Pentecôtes;pɑ̃t.kot
Pentecostés;pɑ̃t.kot
Pentecoste;pɑ̃t.kot
Pentecostes;pɑ̃t.kot
Pentewan;pɛntʃ.wan
Perücke;pɔ.li.nez.jɛ̃
Peranakan;pe.ʁa.na.kan
Percé;pɛʁ.se
Perceneige;pɛʁs.nɛʒ
Perceptron;pɛʁ.sɛp.tʁɔ̃
Perceval;pɛʁs.val
Perche;pɛʁʃ
Percy;pɛʁ.si
Perdita;pɛʁ.di.ta
Perestroika;pɔ.li.nez.jɛ̃
Perforiermaschine;pɔ.li.nez.jɛ̃
Pergament;pɔ.li.nez.jɛ̃
Perkussionsinstrument;pɔ.li.nez.jɛ̃
Perl;pɛʁl
Perlimpinpin;pɛʁ.lɛ̃.pɛ̃.pɛ̃
Perm;pɛʁm
Permien;pɛʁ.mjɛ̃
Permutation;pɔ.li.nez.jɛ̃
Pernambouc;pɛʁ.nam.bu.k
Pernambuco;pɛʁ.nam.bu.ko
Pernelle;pɛʁ.nɛl
Peronnelle;pɛ.ʁɔ.nɛl
Perpétuen;pɛʁ.pe.ty.ɛ̃
Perpignan;pɛʁ.pi.ɲɑ̃
Perpignanais;pɛʁ.pi.ɲa.nɛ
Perrette;pɛ.ʁɛt
Perrières;pɛ.ʁjɛʁ
Perrine;pɛ.ʁin
Perrou;pɛ.ʁu
Perryne;pɛ.ʁin
Persée;pɛʁ.se
Perséphone;pɛʁ.se.fɔn
Persépolis;pɛʁ.se.pɔ.lis
Persa;paʁt
Persan;pɛʁ.sɑ̃
Persane;pɛʁ.sɑn
Persanes;pɛʁ.sɑn
Persans;pɛʁ.sɑ̃
Perse;pɛʁs
Persea;pʁɔ.zɛʁ.pin
Persee;pʁɔ.zɛʁ.pin
Persei;pʁɔ.zɛʁ.pin
Perseo;pʁɔ.zɛʁ.pin
Perses;pɛʁs
Perseum;pʁɔ.zɛʁ.pin
Persian;pɛʁ.sjɑ̃
Personal;pɛʁm
Perth;pœʁs
Pertinoise;pɛʁ.ti.nwaz
Pertinoises;pɛʁ.ti.nwaz
Peruo;pe.ʁu
Peruvia;pe.ʁu
Pervenchères;pɛʁ.vɑ̃.ʃɛʁ
Perwézien;pɛʁ.we.zjɛ̃
Perwézienne;pɛʁ.we.zjɛn
Perwéziennes;pɛʁ.we.zjɛ̃n
Perwéziens;pɛʁ.we.zjɛ̃
Perwez;pɛʁ.we
Perzeption;pɛʁm
Pescara;pɛs.ka.ʁa
Peso;pe.zo
Pessimist;ply.to
Pest;pɛʁm
Petapascal;fɔ.ti.nɔ
Peter;pi.tœʁ
Petersilie;fy.zi
Peterson;pe.tɛʁ.sɔn
Petitbon;pə.ti.bɔ̃
Petiville;pə.ti.vil
Petrichor;pe.tʁi.kɔʁ
Petschaft;pɛʁm
Petting;pɛʁm
Peugeot;pø.ʒo
Peuls;pøl
Pfaffe;pɛʁm
Pfaffen;fʁɔ.ma.ʒist
Pfand;fy.zi
Pfefferstreuer;pɔ.li.nez.jɛ̃
Pfennigfuchser;pɛʁm
Pfennigfuchserin;pɛʁm
Pferdefuhrwerk;pɔ.li.nez.jɛ̃
Pferdeschweif;pa.ne.li.ze
Pfifferling;ply.to
Pfingsten;pɑ̃t.kot
Pfirsich;pɔ.li.nez.jɛ̃
Pflaster;pɛʁm
Pflasterstein;pɛʁm
Pfuhl;pɛʁm
Phébus;fe.bys
Phénicien;fe.ni.sjɛ̃
Phénicienne;fe.ni.sjɛn
Phéniciennes;fe.ni.sjɛn
Phéniciens;fe.ni.sjɛ̃
Phénix;fe.niks
Phérès;fe.ʁɛs
Phœbé;fe.be
Phoebé;fe.be
Phœnicien;fe.ni.sjɛ̃
Phoenicien;fe.ni.sjɛ̃
Phœnix;fe.niks
Phoenix;fe.niks
Phalanx;pɛʁm
Phanérozoïque;fa.ne.ʁo.zɔ.ik
Phanar;pɛʁ.sɛp.tib.lə.mɑ̃
Pharmazie;plat
Philémontois;fi.le.mɔ̃.twa
Phil;fil
Philibert;fi.li.bɛʁ
Philiberte;fi.li.bɛʁt
Philipp;pɔ.li.nez.jɛ̃
Philippe;fi.lip
Philippeville;fi.lip.vil
Philippin;fi.li.pɛ̃
Philippine;fi.li.pin
Philippines;fi.li.pin
Philippins;fi.li.pɛ̃
Philippon;fi.li.pɔ̃
Philistie;fi.lis.ti
Philistin;fi.lis.tɛ̃
Philistine;fi.lis.tin
Philistines;fi.lis.tin
Philomèle;fi.lɔ.mɛl
Philomène;fi.lɔ.mɛn
Phlebografie;pɔ.li.nez.jɛ̃
Phoïbos;fo.i.bos
Phobos;fɔ.bɔs
Phocée;fɔ.se
Phocéen;fɔ.se.ɛ̃
Phocéenne;fɔ.se.ɛn
Phocéennes;fɔ.se.ɛn
Phocéens;fɔ.se.ɛ̃
Phonometrie;pɔ.li.nez.jɛ̃
Phonon;fe.ni.si.kyl.tœʁ
Photographier;fɔ.tɔ.ɡʁa.fje
Phraseologismus;pɔ.li.nez.jɛ̃
Phrygien;fʁi.ʒjɛ̃
Phrygienne;fʁi.ʒjɛn
Phrygiennes;fʁi.ʒjɛn
Phrygiens;fʁi.ʒjɛ̃
Phthiotide;ftjɔ.tid
Phycées;fi.se
Piéla;pje.la
Piémont;pje.mɔ̃
Piémontais;pje.mɔ̃.tɛ
Piémontaise;pje.mɔ̃.tɛz
Piémontaises;pje.mɔ̃.tɛz
Piérie;pjɛ.ʁi
Piéton;pje.tɔ̃
Pi;pi
Pia;pja
Piacenza;pa.vja
Piamonte;pje.mɔ̃
Picard;pi.kaʁ
Picarde;pi.kaʁ
Picardes;pi.kaʁ
Picardie;pi.kaʁ.di
Picards;pi.kaʁ
Pich;pɔ̃
Piciformes;pi.si.fɔʁm
Picon;pi.kɔ̃
Picrochole;pik.ʁɔ.kɔl
Pictavien;pik.ta.vjɛ̃
Picte;pikt
Pictes;pikt
Piedmont;pje.mɔ̃
Piedmontais;pje.mɔ̃.tɛ
Piemonte;pje.mɔ̃
Piemonto;pje.mɔ̃
Piemunte;pje.mɔ̃
Piemunti;pje.mɔ̃
Pierre;pjɛʁ
Pierrefiche;pjɛʁ.fiʃ
Pierrefonds;pjɛʁ.fɔ̃
Pierrelaye;pjɛʁ.lɛ
Pierremontais;pjɛʁ.mɔ̃.tɛ
Pierrepont;pjɛʁ.pɔ̃
Pierres;pjɛʁ
Pierrette;pjɛ.ʁɛt
Pierrevillien;pjɛʁ.vi.ljɛ̃
Pierrevillois;pjɛʁ.vi.lwa
Pierritaines;pjɛ.ʁi.tɛn
Pierrois;pjɛ.ʁwa
Pierrot;pje.ʁo
Pigeon;pi.ʒɔ̃
Pigeons;pi.ʒɔ̃
Pijemont;pje.mɔ̃
Pikeriverain;pajk.ʁiv.ʁɛ̃
Pikine;pi.kin
Pikopascal;fɔ.ti.nɔ
Pilate;pi.lat
Pille;pɛʁm
Pilois;pi.lwa
Pilot;pɔ.li.nez.jɛ̃
Pinacées;pi.na.se
Pinakothek;pɛʁm
Pindare;pɛ̃.daʁ
Pindaresque;pɛ̃.da.ʁɛsk
Pinde;pi.lje
Pingelap;pɛ̃.ʒə.lap
Pingelapien;pɛ̃.ʒə.la.pjɛ̃
Pingelapiens;pɛ̃.ʒə.la.pjɛ̃
Pinilana;fɛ̃.lɑ̃d
Pinke;pɛʁm
Pinksteren;pi.ʒa.ma
Pinocchio;pi.nɔ.kjo
Pinocchios;pɔ.lja.dɛl.fit
Pintendrois;pɛ̃.tɑ̃.dʁwa
Pinyol;pɔ̃
Pionier;pɔ.li.nez.jɛ̃
Piopolissois;pjo.pɔ.li.swa
Pippau;pɔ.lɔ.nɛz
Pirat;pɔ.li.nez.jɛ̃
Piriacais;piʁ.ja.kɛ
Piriacaise;piʁ.ja.kɛz
Piriacaises;piʁ.ja.kɛz
Pirineos;pi.ʁe.ne
Pirineus;pi.ʁe.ne
Pirkanmaa;piʁ.kɑ̃.mɑ
Pisage;pi.zaʒ
Piscénois;pi.se.nwa
Piscop;pis.kɔ
Pissila;pi.si.la
Pistoia;pis.tɔja
Pistolais;pis.tɔ.lɛ
Pistole;pɔ.li.nez.jɛ̃
Pistolet;pis.tɔ.lɛ
Pistolois;pis.tɔ.lwa
Pitcairn;pit.kɛʁn
Pithiviers;pi.ti.vje
Pitkern;pit.kɛʁn
Pitoune;pi.tun
Pitounes;pʁok.ʁe.a.sjɔ.nism
Piyemont;pje.mɔ̃
Pizounais;pi.zu.nɛ
Pizounaise;pi.zu.nɛz
Pizza;pid.za
Pjemonta;pje.mɔ̃
Pjemontas;pje.mɔ̃
Pléiade;ple.jad
Pléiades;ple.jad
Pléistocène;ple.is.tɔ.sɛn
Plélotin;ple.lo.tɛ̃
Placidéen;pla.si.de.ɛ̃
Placidien;pla.si.djɛ̃
Placy;pla.si
Plageois;pla.ʒwa
Plagiostomes;pla.ʒjo.stɔm
Plaisancien;plɛ.zɑ̃.sjɛ̃
Plan;plɑ̃
Planches;plɑ̃ʃ
Plankton;pɛʁm
Planoise;pla.nwaz
Planquery;plɑ̃k.ʁi
Plantaginacées;plɛ.zɑ̃
Plantes;plɑ̃t
Plasmodidés;plas.mɔ.di.de
Plasmodiidés;plas.mɔ.di.i.de
Plasmodium;plas.mɔ.djɔm
Plastikgeld;plɑ̃
Platâl;pla.tal
Platal;pla.tal
Platon;pla.tɔ̃
Plattenspieler;pɔ.li.nez.jɛ̃
Plattfisch;plɑ̃
Plebejer;pɛʁm
Plebiszit;pɔ.li.nez.jɛ̃
Plessisvillois;plɛ.si.vi.lwa
Pleyberiens;plɛ.be.ʁjɛ̃
Pliensbachien;pli.ɛnz.ba.kjɛ̃
Pline;plin
Pliocène;pli.jɔ.sɛn
Plosiv;pɛʁm
Plouézec;ply.e.zɛk
Plougastel;plu.ɡas.tɛl
Plovdiv;plovdiv
Plt;pe.ɛl.te
Plume;plym
Plumeau;ply.mo
Plumetot;ply.mə.tɔ
Plural;pɛʁm
Plutarko;ply.taʁk
Plutarque;ply.taʁk
Pluto;ply.to
Pluton;ply.tɔ̃
Plutus;ply.tys
Pneumothorax;pnø.mɔ.tɔ.ʁaks
Pnyx;pɔ.ɛt
Poa;pɔa
Poacées;pɔ.a.se
Poaceae;fɛ.dɛʁ.dja
Pocatérien;pɔ.ka.te.ʁjɛ̃
Pocatiérain;pɔ.ka.tje.ʁɛ̃
Pocatois;pɔ.ka.twa
Pocken;pɛʁm
PodAds;pa.ta.ka
Podgorica;pɔd.ɡɔ.ʁi.ka
Podolie;pɔ.dɔ.li
Podoor;pɛks
Poenica;fu.ʁi.ɡa.na
Poenicae;fu.ʁi.ɡa.na
Poenicam;fu.ʁi.ɡa.na
Poenicas;fu.ʁi.ɡa.na
Poenice;fu.ʁi.ɡa.na
Poenici;fu.ʁi.ɡa.na
Poenico;fu.ʁi.ɡa.na
Poenicorum;fu.ʁi.ɡa.na
Poenicos;fu.ʁi.ɡa.na
Poenicum;fu.ʁi.ɡa.na
Poenus;pɔ.dɛks
Poesie;pɛʁm
Pogrom;pɔ.li.nez.jɛ̃
Poincaré;pwɛ̃.ka.ʁe
Pointecascadien;pwɛ̃t.kas.ka.djɛ̃
Pointel;pwɛ̃.tɛl
Pointelier;pwɛ̃.tə.lje
Pointelois;pwɛ̃.tə.lwa
Pointepicois;pwɛ̃.tə.pi.kwa
Poisson;pwa.sɔ̃
Poissons;pwa.sɔ̃
Poitiers;pwa.tje
Poitou;pwa.tu
Pokémon;pɔ.ke.mɔn
Pokal;pɛʁm
Pokemouche;pɔk.muʃ
Poker;po.kɛʁ
Pokiston;pa.iz
Polémoniacées;pɔ.le.mɔ.nja.se
Polésine;pɔ.le.zin
Polak;pɔ.lak
Polariton;fe.ni.si.kyl.tœʁ
Polarnacht;pɛʁm
Polemik;ply.to
Polemiker;pɛʁm
Polemikerin;pɛʁm
Polhymnie;pɔ.li.mni
Poliak;fla.ʒɛ.lɑ̃
Poligny;po.li.ɲi
Poliklinik;pɛʁm
Polinesia;pɔ.li.nez.jɛn
Politikverdrossenheit;pɛʁm
Polizeihund;plɑ̃
Polizeimeister;pɔ.li.nez.jɛ̃
Pollando;pɔ.lɔɲ
Pollen;pɔ.lɛn
Pollux;pɔ.lyks
Pologne;pɔ.lɔɲ
Polonais;pɔ.lɔ.nɛ
Polonaise;pɔ.lɔ.nɛz
Polonaises;pɔ.lɔ.nɛz
Polsko;pɔ.lɔɲ
Polyamorie;plɑ̃
Polyandrie;plɑ̃
Polyarchie;pɛʁm
Polycarpien;pɔ.li.kaʁ.pjɛ̃
Polygamie;plɑ̃
Polygynie;plɑ̃
Polyhymnie;pɔ.li.im.ni
Polymer;pɔ.li.nez.jɛ̃
Polymnie;pɔ.li.mni
Polynésie;pɔ.li.ne.zi
Polynésien;pɔ.li.nez.jɛ̃
Polynésienne;pɔ.li.nez.jɛn
Polynésiennes;pɔ.li.nez.jɛn
Polynésiens;pɔ.li.nez.jɛ̃
Polytechnique;pɔ.li.tɛk.nik
Polytheismus;plat
Poméranie;pɔ.me.ʁa.ni
Poméranienne;pɔ.me.ʁa.njɛn
Poméraniennes;pɔ.me.ʁa.njɛn
Poméraniens;pɔ.me.ʁa.njɛ̃
Pomasien;pɔ.ma.zjɛ̃
Pomasienne;pɔ.ma.zjɛ
Pomasiennes;pɔ.ma.zjɛn
Pomasiens;pɔ.ma.zjɛ̃
Pomasois;pɔ.ma.zwa
Pomasoise;pɔ.ma.zwaz
Pomasoises;pɔ.ma.zwaz
Pommern;pɔ.li.nez.jɛ̃
Pompée;pɔ̃.pe
Pompidou;pɔ̃.pi.du
Pompignanaises;pɔ̃.pi.ɲa.nɛz
Pon;pe.ɛl.te
Ponant;pɔ.nɑ̃
Ponants;pɔ.nɑ̃
Ponce;pɔ̃s
Pondichéry;pɔ̃.di.ʃe.ʁi
Poni;pɔ.ni
Ponot;pɔ.no
Ponots;pɔ.no
Ponsonbien;pɔn.sɔn.bjɛ̃
Ponténégrin;pɔ̃.te.ne.ɡʁɛ̃
Pont;pɔ̃
Pontarlier;pɔ̃.taʁ.lje
Pontbriandais;pɔ̃.bʁi.jɑ̃.dɛ
Pontchardon;pɔ̃.ʃaʁ.dɔ̃
Pontelles;pɔ̃.tɛl
Pontels;pɔ̃.tɛl
Pontifikat;pa.ʁa.zi.tik
Pontissois;pɔ̃.ti.swa
Pontivy;pɔ̃.ti.vy
Pontivyenne;pɔ̃.ti.vjɛn
Pontivyennes;pɔ̃.ti.vjɛn
Pontois;pɔ̃.twa
Pontoise;pɔ̃.twaz
Popaul;pɔ.pɔl
Popo;po.po
Popoffs;pɔ.pɔf
Popolasca;pɔ.pɔ.la.ska
Popolascais;pɔ.pɔ.la.skɛ
Popolascaise;pɔ.pɔ.la.skɛz
Popolascaises;pɔ.pɔ.la.skɛz
Porchugal;pu.la
Pordenone;pɔʁ.dɛ.nɔn
Pori;pɔ.ʁi
Pornic;pɔʁ.nik
Pornicais;pɔʁ.ni.kɛ
Pornicaise;pɔʁ.ni.kɛz
Pornicaises;pɔʁ.ni.kɛz
Porochenko;pɔ.ʁɔ.ʃɛn.kɔ
Porsche;pɔʁʃ
Portègne;pɔʁtɛɲ
Portûgal;pu.la
Portûnga;pu.la
Portagail;pu.la
Portageois;pɔʁ.ta.ʒwa
Portageur;pɔʁ.ta.ʒœʁ
Portaingéil;pu.la
Portamento;pɛʁm
Porte;pɔʁt
Portegal;pʁaɡ.ma.tik
Portekîz;pʁaɡ.ma.tik
Portekiz;pʁaɡ.ma.tik
Portepee;pɛʁm
Porteurs;pɔʁ.tœʁ
Portia;pɔʁ.tja
Portioncule;fɔ.tɔ.ɡʁa.mɛtʁ
Portiwgal;fɔlk.lɔʁ
Portlouisien;pɔʁ.lwi.zjɛ̃
Portneuvien;pɔʁ.nœ.vjɛ̃
Portneuvois;pɔʁ.nœ.vwa
Porto;pɔʁ.to
Portogal;pu.la
