Védaquais;ve.da.kɛ
Verônica;vɑ̃.tʁal
Verbénacées;vɛʁ.be.na.se
Verbe;vɛʁb
Verchèrois;vɛʁ.ʃɛ.ʁwa
Vercheny;vɛʁ.ʃø.ni
Vercherois;vɛʁ.ʃə.ʁwa
Vercingétorix;vɛʁ.sɛ̃.ʒe.tɔ.ʁiks
Vercors;vɛʁ.kɔʁ
Verdelaisien;vɛʁ.də.lɛ.zjɛ̃
Verdoyant;vɛʁ.dwa.jɑ̃
Verdoyants;vɛʁ.dwa.jɑ̃
Verdun;vɛʁ.dœ̃
Verdunois;vɛʁ.dy.nwa
Vergonaises;vɛʁ.ɡɔ.nɛz
Vermittlung;vɛʁ.de
Vermont;vɛʁmɔ̃
Vernalien;vɛʁ.na.ljɛ̃
Vernalienne;vɛʁ.na.ljɛn
Vernaliennes;vɛʁ.na.ljɛn
Vernaliens;vɛʁ.na.ljɛ̃
Vernayonnes;vɛʁ.na.jɔn
Verne;vɛʁn
Vernet;vɛʁ.nɛ
Vernisse;vɛʁnis
Vernonais;vɛʁ.nɔ.nɛ
Verona;ve.ʁɔn
Verosvres;ve.ʁovʁ
Verrières;vɛ.ʁjɛʁ
Versacomicorien;vɛʁ.sa.kɔ.mi.kɔ.ʁj
Versacomicorienne;vɛʁ.sa.kɔ.mi.kɔ.ʁjɛn
Versacomicoriennes;vɛʁ.sa.kɔ.mi.kɔ.ʁjɛn
Versacomicoriens;vɛʁ.sa.kɔ.mi.kɔ.ʁjɛ̃
Versaillais;vɛʁ.sa.jɛ
Versainville;vɛʁ.sɛ̃.vil
Verseau;vɛʁ.so
Verson;vɛʁ.sɔ̃
Vertébrés;vɛʁ.te.bʁe
Vervins;vɛʁ.vɛ̃
Vescovatais;vɛs.kɔ.va.tɛ
Vescovataise;vɛs.kɔ.va.tɛz
Vescovataises;vɛs.kɔ.va.tɛz
Vescovato;vɛs.kɔ.va.to
Vesle;vɛl
Vesoul;və.zul
Vesta;vɛs.ta
Vettones;val.ʁa.sjɛ̃
Vexin;vɛk.sɛ̃
Vexinois;vɛk.si.nwa
Vezzanais;vɛd.za.nɛ
Vezzanaise;vɛd.za.nɛz
Vezzanaises;vɛd.za.nɛz
Vezzani;vɛd.za.ni
Viêt;vjɛt
Vietnam;vjɛt.nam
Viagra;vja.ɡʁa
Vianneyen;vja.ne.ɛ̃
Viannois;vja.nwa
Viarmes;vjaʁm
Viatorien;vja.tɔ.ʁjɛ̃
Viaur;vjɔʁ
Vibrac;vi.bʁak
Vibracais;vi.bʁa.kɛ
Vic;vik
Vicence;vi.sɛns
Vicentin;vi.sɑ̃.tɛ̃
Vicentine;vi.sɑ̃.tin
Vicentines;vi.sɑ̃.tin
Vicentins;vi.sɑ̃.tɛ̃
Vichnou;vi.ʃnu
Vichy;vi.ʃi
Vicinois;vi.si.nwa
Vicinoise;vi.si.nwaz
Vicinoises;vi.si.nwaz
Vicois;vi.kwa
Vicques;vik
Victoire;vik.twaʁ
Victoirien;vik.twa.ʁjɛ̃
Victor;vik.tɔʁ
Victoria;vik.tɔ.ʁja
Victoriavillois;vik.tɔ.ʁja.vi.lwa
Victorien;vik.tɔ.ʁjɛ̃
Victorois;vik.tɔ.ʁwa
Vidai;vi.dɛ
Vidal;vi.dal
Videlles;vi.dɛl
Vienne;vjɛn
Viennois;vjɛ.nwa
Viennoise;vjɛ.nwaz
Viennoises;vjɛ.nwaz
Vientiane;vjɛ̃.tjan
Vierge;vjɛʁʒ
Vierton;viʁ.tɔ̃
Vierzon;vjɛʁ.zɔ̃
Viessoix;vjɛ.swa
Vietnam;vjɛt.nam
Vietnamien;vjɛt.na.mjɛ̃
Vietnamienne;vjɛt.na.mjɛn
Vietnamiennes;vjɛt.na.mjɛn
Vieux;vjø
Vif;vif
Vigérois;vi.ʒe.ʁwa
Vigeois;vi.ʒwa
Vignats;vi.ɲa
Vigneron;vi.ɲə.ʁɔ̃
Vigny;vi.ɲi
Vilaine;vi.lɛn
Vilette;vi.lɛt
Villabé;vi.la.be
Villaine;vi.lɛn
Villandraut;vi.lɑ̃.dʁo
Villarandes;vi.la.ʁɑ̃d
Villebichotain;vilbiʃɔtɛ̃
Villeconin;vil.kɔ.nɛ̃
Villecresnes;vilk.ʁɛn
Villedieusien;vil.djø.zjɛ̃
Villefranchoise;vil.fʁɑ̃.ʃwaz
Villefranchoises;vil.fʁɑ̃.ʃwaz
Villejuif;vil.ʒɥif
Villejust;vil.jyst
Villemanoche;vil.ma.nɔʃ
Villemarien;vil.ma.ʁjɛ̃
Villemomble;vil.mɔ̃bl
Villeneuvien;vil.nœ.vjɛ̃
Villenois;vil.nwa
Villenoix;vil.nwa
Villenoy;vil.nwa
Villepinte;vil.pɛ̃t
Villerain;vil.ʁɛ̃
Villeroy;vil.ʁwa
Villeroyen;vil.ʁwa.jɛ̃
Villers;vi.lɛʁ
Villerville;vi.lɛʁ.vil
Villette;vi.lɛt
Villeurbanne;vi.lœʁ.ban
Villevallier;vil.va.lje
Vilnius;vil.njys
Vilvorde;vil.vɔʁd
Viminal;vɛ̃kʁ
Vimont;vi.mɔ̃
Vimontais;vi.mɔ̃.tɛ
Vimontois;vi.mɔ̃.twa
Vimyridgeois;vi.mi.ʁid.ʒwa
Vincennes;vɛ̃.sɛn
Vincennois;vɛ̃.sɛ.nwa
Vincennoise;vɛ̃.sɛ.nwaz
Vincennoises;vɛ̃.sɛ.nwaz
Vincent;vɛ̃.sɑ̃
Vincentais;vɛ̃.sɑ̃.tɛ
Vincentaise;vɛ̃.sɑ̃.tɛz
Vincentaises;vɛ̃.sɑ̃.tɛz
Vincents;vɛ̃.sɑ̃
Vinciane;vɛ̃.sjan
Vindélicie;vɛ̃.de.li.si
Vindelloises;vɛ̃.də.lwaz
Vinoyen;vi.nwa.jɛ̃
Vintain;vɛ̃.tɛ̃
Vintimille;vɛ̃.ti.mij
Violain;vjɔ.lɛ̃
Violaine;vjɔ.lɛn
Violaines;vjɔ.lɛn
Violains;vjɔ.lɛ̃
Violette;vjɔ.lɛt
Vira;vi.ʁa
Vire;viʁ
Virgile;viʁ.ʒil
Virginie;viʁ.ʒi.ni
Virginien;viʁ.ʒi.njɛ̃
Virgos;va.li.da.sjɔ̃
Viroinval;vi.ʁwɛ̃.val
Virton;viʁ.tɔ̃
Viséen;vi.ze.ɛ̃
Vishnou;viʃ.nu
Visitandin;vi.zi.tɑ̃.dɛ̃
Visitation;vi.zi.ta.sjɔ̃
Visitations;vi.zi.ta.sjɔ̃
Visla;vis.tyl
Vistula;vis.tyl
Vistule;vis.tyl
Vitré;vi.tʁe
Vitrac;vi.tʁak
Vitrayennes;vi.tʁa.jɛn
Vittel;vi.tɛl
Vitulin;vi.ty.lɛ̃
Vivariais;vi.va.ʁjɛ
Vivariaise;vi.va.ʁjɛz
Vivariaises;vi.va.ʁjɛz
Vivario;vi.va.ʁjo
Viviane;vi.vjan
Vivien;vi.vjɛ̃
Vivienne;vi.vjɛn
Viviennes;vi.vjɛn
Viviens;vi.vjɛ̃
Vix;vi
Vladikas;vɛ.ksi.lɔ.fil
Vladimir;v.la.di.miʁ
Vladislas;v.la.dis.las
Vladislav;v.la.dis.lav
Vladivostok;v.la.di.vɔs.tɔk
Vlagyivosztok;v.la.di.vɔs.tɔk
VoIP;ve.o.i.pe
Vogüé;vɔ.ɡy.e
Vogezen;voʒ
Voiles;vwal
Voiteur;vwa.tœʁ
Volhynie;vɔ.li.ni
Vollkommenheit;ve.lɔs
Voltaïque;vɔl.ta.ik
Volta;vɔl.ta
Voltaire;vɔl.tɛʁ
Volvo;vɔl.vo
Volynie;vɔ.li.ni
Vonnas;vɔ.na
Vosges;voʒ
Vosgien;vo.ʒjɛ̃
Vouilloise;vu.jwaz
Vouilly;vu.ji
Voujeaucourtoise;vu.ʒo.kuʁ.twaz
Voujeaucourtoises;vu.ʒo.kuʁ.twaz
Voulpaix;vul.pɛ
Vouziers;vu.zje
Vouzinois;vu.zi.nwa
Vouzinoise;vu.zi.nwaz
Vouzinoises;vu.zi.nwaz
Vrigny;vʁi.ɲi
Vulcain;vyl.kɛ̃
Vulkanologie;vɔl.ka.nɔ.lɔ.ʒik
vène;vɛn
vènent;vɛn
vènera;vɛ.nə.ʁa
vènerai;vɛ.nə.ʁe
vèneraient;vɛ.nə.ʁɛ
vènerais;vɛ.nə.ʁɛ
vènerait;vɛ.nə.ʁɛ
vèneras;vɛ.nə.ʁa
vènerez;vɛ.nə.ʁe
vènerie;vɛn.ʁi
vèneries;vɛl
vèneriez;vɛ.nə.ʁje
vènerions;vɛ.nə.ʁjɔ̃
vènerons;vɛ.nə.ʁɔ̃
vèneront;vɛ.nə.ʁɔ̃
vènes;vɛn
vé;ve
véadar;ve.a.daʁ
vécé;ve.se
vécûmes;ve.kym
vécût;ve.ky
vécûtes;ve.kyt
vécordie;ve.kɔʁ.di
vécu;ve.ky
vécue;ve.ky
vécues;ve.ky
vécurent;ve.kyʁ
vécus;ve.ky
vécusse;ve.kys
vécussent;ve.kys
vécusses;ve.kys
vécussiez;ve.ky.sje
vécussions;ve.ky.sjɔ̃
vécut;ve.ky
véda;ve.da
védas;va.zo.kɔ̃s.tʁik.tœʁ
védasses;vɛ.jwaʁ
védelets;vɛ.jwaʁ
védique;ve.dik
védiques;ve.dik
védisme;ve.dism
védismes;va.zo.kɔ̃s.tʁik.tœʁ
végète;ve.ʒɛt
végètent;ve.ʒɛt
végètera;ve.ʒɛ.tə.ʁa
végèterai;ve.ʒɛ.tə.ʁe
végèteraient;ve.ʒɛ.tə.ʁɛ
végèterais;ve.ʒɛ.tə.ʁɛ
végèterait;ve.ʒɛ.tə.ʁɛ
végèteras;ve.ʒɛ.tə.ʁa
végèterez;ve.ʒɛ.tə.ʁe
végèteriez;ve.ʒɛ.tə.ʁje
végèterions;ve.ʒɛ.tə.ʁjɔ̃
végèterons;ve.ʒɛ.tə.ʁɔ̃
végèteront;ve.ʒɛ.tə.ʁɔ̃
végètes;ve.ʒɛt
végé;ve.ʒe
végétâmes;ve.ʒe.tam
végétât;ve.ʒe.ta
végétâtes;ve.ʒe.tat
végétèrent;ve.ʒe.tɛʁ
végété;ve.ʒe.te
végéta;ve.ʒe.ta
végétabilité;və.ni.mo.zi.te
végétables;vɛ.jwaʁ
végétai;ve.ʒe.te
végétaient;ve.ʒe.tɛ
végétaillâmes;ve.ʒe.ta.jam
végétaillât;ve.ʒe.ta.ja
végétaillâtes;ve.ʒe.ta.jat
végétaillèrent;ve.ʒe.ta.jɛʁ
végétaillé;ve.ʒe.ta.je
végétailla;ve.ʒe.ta.ja
végétaillai;ve.ʒe.ta.je
végétaillaient;ve.ʒe.ta.jɛ
végétaillais;ve.ʒe.ta.jɛ
végétaillait;ve.ʒe.ta.jɛ
végétaillant;ve.ʒe.ta.jɑ̃
végétaillas;ve.ʒe.ta.ja
végétaillasse;ve.ʒe.ta.jas
végétaillassent;ve.ʒe.ta.jas
végétaillasses;ve.ʒe.ta.jas
végétaillassiez;ve.ʒe.ta.ja.sje
végétaillassions;ve.ʒe.ta.ja.sjɔ̃
végétaille;ve.ʒe.taj
végétaillent;ve.ʒe.taj
végétailler;ve.ʒe.tɑ.je
végétaillera;ve.ʒe.ta.jə.ʁa
végétaillerai;ve.ʒe.ta.jə.ʁe
végétailleraient;ve.ʒe.ta.jə.ʁɛ
végétaillerais;ve.ʒe.ta.jə.ʁɛ
végétaillerait;ve.ʒe.ta.jə.ʁɛ
végétailleras;ve.ʒe.ta.jə.ʁa
végétaillerez;ve.ʒe.ta.jə.ʁe
végétailleriez;ve.ʒe.ta.jə.ʁje
végétaillerions;ve.ʒe.ta.jə.ʁjɔ̃
végétaillerons;ve.ʒe.ta.jə.ʁɔ̃
végétailleront;ve.ʒe.ta.jə.ʁɔ̃
végétailles;ve.ʒe.taj
végétaillez;ve.ʒe.ta.je
végétailliez;ve.ʒe.ta.je
végétaillions;ve.ʒe.ta.jɔ̃
végétaillons;ve.ʒe.ta.jɔ̃
végétais;ve.ʒe.tɛ
végétait;ve.ʒe.tɛ
végétal;ve.ʒe.tal
végétale;ve.ʒe.tal
végétales;ve.ʒe.tal
végétalien;ve.ʒe.ta.ljɛ̃
végétalienne;ve.ʒe.ta.ljɛn
végétaliennes;ve.ʒe.ta.ljɛn
végétaliens;ve.ʒe.ta.ljɛ̃
végétalisâmes;ve.ʒe.ta.li.zam
végétalisât;ve.ʒe.ta.li.za
végétalisâtes;ve.ʒe.ta.li.zat
végétalisèrent;ve.ʒe.ta.li.zɛʁ
végétalisé;ve.ʒe.ta.li.ze
végétalisée;ve.ʒe.ta.li.ze
végétalisées;ve.ʒe.ta.li.ze
végétalisés;ve.ʒe.ta.li.ze
végétalisa;ve.ʒe.ta.li.za
végétalisai;ve.ʒe.ta.li.ze
végétalisaient;ve.ʒe.ta.li.zɛ
végétalisais;ve.ʒe.ta.li.zɛ
végétalisait;ve.ʒe.ta.li.zɛ
végétalisant;ve.ʒe.ta.li.zɑ̃
végétalisas;ve.ʒe.ta.li.za
végétalisasse;ve.ʒe.ta.li.zas
végétalisassent;ve.ʒe.ta.li.zas
végétalisasses;ve.ʒe.ta.li.zas
végétalisassiez;ve.ʒe.ta.li.za.sje
végétalisassions;ve.ʒe.ta.li.za.sjɔ̃
végétalisation;ve.ʒe.ta.li.za.sjɔ̃
végétalisations;va.zo.kɔ̃s.tʁik.tœʁ
végétalise;ve.ʒe.ta.liz
végétalisent;ve.ʒe.ta.liz
végétaliser;ve.ʒe.ta.li.ze
végétalisera;ve.ʒe.ta.li.zə.ʁa
végétaliserai;ve.ʒe.ta.li.zə.ʁe
végétaliseraient;ve.ʒe.ta.li.zə.ʁɛ
végétaliserais;ve.ʒe.ta.li.zə.ʁɛ
végétaliserait;ve.ʒe.ta.li.zə.ʁɛ
végétaliseras;ve.ʒe.ta.li.zə.ʁa
végétaliserez;ve.ʒe.ta.li.zə.ʁe
végétaliseriez;ve.ʒe.ta.li.zə.ʁje
végétaliserions;ve.ʒe.ta.li.zə.ʁjɔ̃
végétaliserons;ve.ʒe.ta.li.zə.ʁɔ̃
végétaliseront;ve.ʒe.ta.li.zə.ʁɔ̃
végétalises;ve.ʒe.ta.liz
végétalisez;ve.ʒe.ta.li.ze
végétalisiez;ve.ʒe.ta.li.zje
végétalisions;ve.ʒe.ta.li.zjɔ̃
végétalisme;ve.ʒe.ta.lism
végétalismes;va.zo.kɔ̃s.tʁik.tœʁ
végétalisons;ve.ʒe.ta.li.zɔ̃
végétant;ve.ʒe.tɑ̃
végétante;ve.ʒe.tɑ̃t
végétantes;ve.ʒe.tɑ̃t
végétants;ve.ʒe.tɑ̃
végétarianisme;ve.ʒe.ta.ʁja.nism
végétarien;ve.ʒe.ta.ʁjɛ̃
végétarienne;ve.ʒe.ta.ʁjɛn
végétariennes;ve.ʒe.ta.ʁjɛn
végétariens;ve.ʒe.ta.ʁjɛ̃
végétarisme;ve.ʒe.ta.ʁism
végétarismes;va.zo.kɔ̃s.tʁik.tœʁ
végétas;ve.ʒe.ta
végétasse;ve.ʒe.tas
végétassent;ve.ʒe.tas
végétasses;ve.ʒe.tas
végétassiez;ve.ʒe.ta.sje
végétassions;ve.ʒe.ta.sjɔ̃
végétatif;ve.ʒe.ta.tif
végétatifs;ve.ʒe.ta.tif
végétation;ve.ʒe.ta.sjɔ̃
végétations;ve.ʒe.ta.sjɔ̃
végétative;ve.ʒe.ta.tiv
végétatives;ve.ʒe.ta.tiv
végétaux;ve.ʒe.to
végéter;ve.ʒe.te
végétera;ve.ʒɛ.tə.ʁa
végéterai;ve.ʒɛ.tə.ʁe
végéteraient;ve.ʒɛ.tə.ʁɛ
végéterais;ve.ʒɛ.tə.ʁɛ
végéterait;ve.ʒɛ.tə.ʁɛ
végéteras;ve.ʒɛ.tə.ʁa
végéterez;ve.ʒɛ.tə.ʁe
végéteriez;ve.ʒɛ.tə.ʁje
végéterions;ve.ʒɛ.tə.ʁjɔ̃
végéterons;ve.ʒɛ.tə.ʁɔ̃
végéteront;ve.ʒɛ.tə.ʁɔ̃
végétez;ve.ʒe.te
végétiez;ve.ʒe.tje
végétions;ve.ʒe.tjɔ̃
végétons;ve.ʒe.tɔ̃
végan;ve.ɡan
végane;ve.ɡan
véganes;ve.ɡan
véganisme;ve.ɡa.nism
véganismes;ve.ɡa.nism
végans;ve.ɡan
véhémence;ve.e.mɑ̃s
véhémences;va.zo.kɔ̃s.tʁik.tœʁ
véhémente;ve.e.mɑ̃t
véhémentement;ve.e.mɑ̃t.mɑ̃
véhémentes;ve.e.mɑ̃t
véhéments;ve.e.mɑ̃
véhiculâmes;ve.i.ky.lam
véhiculât;ve.i.ky.la
véhiculâtes;ve.i.ky.lat
véhiculèrent;ve.i.ky.lɛʁ
véhiculé;ve.i.ky.le
véhiculée;ve.i.ky.le
véhiculées;ve.i.ky.le
véhiculés;ve.i.ky.le
véhicula;ve.i.ky.la
véhiculage;ve.i.ky.laʒ
véhiculages;ve.i.ky.laʒ
véhiculai;ve.i.ky.le
véhiculaient;ve.i.ky.lɛ
véhiculaire;ve.i.ky.lɛʁ
véhiculaires;ve.i.ky.lɛʁ
véhiculais;ve.i.ky.lɛ
véhiculait;ve.i.ky.lɛ
véhiculant;ve.i.ky.lɑ̃
véhiculas;ve.i.ky.la
véhiculasse;ve.i.ky.las
véhiculassent;ve.i.ky.las
véhiculasses;ve.i.ky.las
véhiculassiez;ve.i.ky.la.sje
véhiculassions;ve.i.ky.la.sjɔ̃
véhicule;ve.i.kyl
véhiculent;ve.i.kyl
véhiculer;ve.i.ky.le
véhiculera;ve.i.ky.lə.ʁa
véhiculerai;ve.i.ky.lə.ʁe
véhiculeraient;ve.i.ky.lə.ʁɛ
véhiculerais;ve.i.ky.lə.ʁɛ
véhiculerait;ve.i.ky.lə.ʁɛ
véhiculeras;ve.i.ky.lə.ʁa
véhiculerez;ve.i.ky.lə.ʁe
véhiculeriez;ve.i.ky.lə.ʁje
véhiculerions;ve.i.ky.lə.ʁjɔ̃
véhiculerons;ve.i.ky.lə.ʁɔ̃
véhiculeront;ve.i.ky.lə.ʁɔ̃
véhicules;ve.i.kyl
véhiculez;ve.i.ky.le
véhiculiez;ve.i.ky.lje
véhiculions;ve.i.ky.ljɔ̃
véhiculons;ve.i.ky.lɔ̃
vél;val
véla;ve.la
vélaire;ve.lɛʁ
vélaires;ve.lɛʁ
vélanède;ve.la.nɛd
vélani;ve.la.ni
vélanis;ve.la.ni
vélarisâmes;ve.la.ʁi.zam
vélarisât;ve.la.ʁi.za
vélarisâtes;ve.la.ʁi.zat
vélarisèrent;ve.la.ʁi.zɛʁ
vélarisé;ve.la.ʁi.ze
vélarisée;ve.la.ʁi.ze
vélarisées;ve.la.ʁi.ze
vélarisés;ve.la.ʁi.ze
vélarisa;ve.la.ʁi.za
vélarisai;ve.la.ʁi.ze
vélarisaient;ve.la.ʁi.zɛ
vélarisais;ve.la.ʁi.zɛ
vélarisait;ve.la.ʁi.zɛ
vélarisant;ve.la.ʁi.zɑ̃
vélarisas;ve.la.ʁi.za
vélarisasse;ve.la.ʁi.zas
vélarisassent;ve.la.ʁi.zas
vélarisasses;ve.la.ʁi.zas
vélarisassiez;ve.la.ʁi.za.sje
vélarisassions;ve.la.ʁi.za.sjɔ̃
vélarisation;ve.la.ʁi.za.sjɔ̃
vélarisations;va.zo.kɔ̃s.tʁik.tœʁ
vélarise;ve.la.ʁiz
vélarisent;ve.la.ʁiz
vélariser;ve.la.ʁi.ze
vélarisera;ve.la.ʁi.zə.ʁa
vélariserai;ve.la.ʁi.zə.ʁe
vélariseraient;ve.la.ʁi.zə.ʁɛ
vélariserais;ve.la.ʁi.zə.ʁɛ
vélariserait;ve.la.ʁi.zə.ʁɛ
vélariseras;ve.la.ʁi.zə.ʁa
vélariserez;ve.la.ʁi.zə.ʁe
vélariseriez;ve.la.ʁi.zə.ʁje
vélariserions;ve.la.ʁi.zə.ʁjɔ̃
vélariserons;ve.la.ʁi.zə.ʁɔ̃
vélariseront;ve.la.ʁi.zə.ʁɔ̃
vélarises;ve.la.ʁiz
vélarisez;ve.la.ʁi.ze
vélarisiez;ve.la.ʁi.zje
vélarisions;ve.la.ʁi.zjɔ̃
vélarisons;ve.la.ʁi.zɔ̃
vélarium;ve.la.ʁjɔm
vélariums;ve.la.ʁjɔm
vélars;va.zo.kɔ̃s.tʁik.tœʁ
vélas;va.zo.kɔ̃s.tʁik.tœʁ
vélasquisme;ve.las.kism
vélasquismes;ve.las.kism
vélaut;ve.da
vélelle;ve.lɛl
vélibiste;ve.li.bist
vélibistes;va.zo.kɔ̃s.tʁik.tœʁ
vélin;ve.lɛ̃
vélineuse;ve.li.nøz
vélins;ve.lɛ̃
véliote;vel.jɔt
véliplanchiste;ve.lip.lɑ̃.ʃist
véliplanchistes;ve.lip.lɑ̃.ʃist
vélique;ve.lik
vélite;ve.lit
vélivolâmes;ve.li.vɔ.lam
vélivolât;ve.li.vɔ.la
