Nàcher;ɛ.ɡɥi.jɔ.ɲe
Navessols;na.vɛ.sɔl
Navigation;na.vi.ɡa.sjɔ̃
Naxien;nak.sjɛ̃
Naxienne;nak.sjɛn
Naxiens;nak.sjɛ̃
Naxiote;na.ksjɔt
Naxos;nak.sɔs
Nay;naj
Nayala;naja.la
Nazairéen;na.zɛ.ʁe.ɛ̃
Nazaire;na.zɛʁ
Nazairien;na.zɛ.ʁjɛ̃
Nazairois;na.zɛ.ʁwa
Nazareth;na.za.ʁɛt
Ndar;nak
Ndjamena;ndʒa.me.na
Ndjuka;ndʒu.ka
Ndjukas;ndʒu.ka
Ne;ɛs.i
Neanderthal;ne.ɑ̃.dɛʁ.tal
Neanderthals;ne.an.dɛʁ.tal
Neapel;napl
Neapelj;napl
Neapol;napl
Neapolitanisch;na.pɔ.li.tɛ̃
Nebraska;ne.bʁas.ka
Ned;ne.o.bʁɔn.zwi.kwa
Nefazodon;ne.fa.zɔ.dɔn
Neger;ɛks.te.ʁi.tɔ.ʁjal
Negligé;ɛlb
Neista;na.na
Neisti;na.na
Nekuias;nɛ.ku.ja
Nella;na.na
Nellu;na.na
Nemmouche;ne.muʃ
Nemrod;nɛm.ʁɔd
Nephtali;nɛf.ta.li
Nephtys;nɛ.ftis
Neptune;nɛp.tyn
Nervieux;nɛʁ.vjø
Nesle;nɛl
Nessa;nɛ.sa
Nessois;nɛ.swa
Nessoise;nɛ.swaz
Nessoises;nɛ.swaz
Nestor;nɛs.tɔʁ
Netherlanders;na.i.və.ʁjɔ̃
Netiquette;ɛlb
Netzwerk;na.ɔ.mi
Neuboisiens;nø.bwa.zjɛ̃
Neuchâtelois;nø.ʃɑ.tə.lwa
Neufchâteau;nø.ʃa.to
Neufchâtelois;nø.ʃa.te.lwa
Neuilléen;nø.je.ɛ̃
Neuilly;nœ.ji
Neuling;na.ɔ.mi
Neupré;nøp.ʁe
Neustrie;nø.stʁi
Neustrien;nø.stʁi.jɛ̃
Neustrienne;nø.stʁi.jɛ̃
Neustriennes;nø.stʁi.jɛ̃
Neustriens;nø.stʁi.jɛ̃
Neutrum;ɛ̃.pɛʁ.ti.nɑ̃
Neuvillois;nø.vi.lwa
Neva;ne.va
Nevada;ne.va.da
Nevers;nə.vɛʁ
Neversoise;nə.vɛʁ.swaz
Neversoises;nə.vɛʁ.swaz
Newportais;nju.pɔʁ.tɛ
Newton;nju.tɔn
Newtonian;nju.tɔ.njɛ̃
Nexon;nɛk.sɔ̃
Nexus;na.ɔ.mi
Ney;nɛj
Ngungois;nɡu.nɡwa
Nguyên;nɡɥi.jɛn
Nguyen;nɡɥi.jɛn
Niça;ni.ko
Nièvre;njɛvʁ
Niabouri;nja.bu.ʁi
Niacin;natis
Niaks;njak
Niamey;nja.me
Nicéphorois;ni.se.fɔ.ʁwa
Nica;ni.ko
Nicaragua;ni.ka.ʁa.ɡwa
Nicaraguayen;ni.ka.ʁa.ɡwa.jɛ̃
Nicaraguayenne;ni.ka.ʁa.ɡwa.jɛn
Nicaraguayennes;ni.ka.ʁa.ɡwa.jɛn
Nicaraguayens;ni.ka.ʁa.ɡwa.jɛ̃
Nice;nis
Nico;ni.ko
Nicodème;ni.kɔ.dɛm
Nicolétain;ni.kɔ.le.tɛ̃
Nicolétaine;ni.kɔ.le.tɛ̃
Nicolétaines;ni.kɔ.le.tɛ̃
Nicolétains;ni.kɔ.le.tɛ̃
Nicolaisien;ni.ko.lɛ.zjɛ̃
Nicolas;ni.kɔ.la
Nicolasi;na.na
Nicole;ni.kɔl
Nicolet;ni.kɔ.lɛ
Nicolette;ni.kɔ.lɛt
Nicolois;ni.kɔ.lwa
Nicopolitans;nøm
Nicosie;ni.kɔ.zi
Nicosien;ni.kɔ.zjɛ̃
Nicosienne;ni.kɔ.zjɛn
Nicosiennes;ni.kɔ.zjɛn
Nicosiens;ni.kɔ.zjɛ̃
Niebelungen;ni.bə.lun.ɡən
Nied;nie
Niet;njɛt
Nieul;njœl
Nieulois;njœ.lwa
Nigérian;ni.ʒe.ʁjɑ̃
Nigériane;ni.ʒe.ʁjan
Nigérianes;ni.ʒe.ʁjan
Nigérians;ni.ʒe.ʁjɑ̃
Nigérie;ɛ.lɛʁ
Nigérien;ni.ʒe.ʁjɛ̃
Nigérienne;ni.ʒe.ʁjɛn
Nigériennes;ni.ʒe.ʁjɛn
Nigériens;ni.ʒe.ʁjɛ̃
Niger;ni.ʒɛʁ
Nigeria;ni.ʒe.ʁja
Nigritie;ni.ɡʁi.si
Nihilist;na.ɔ.mi
Niigata;ni.i.ɡa.ta
Niili;nil
Niilus;nil
Nikaragvo;ni.ka.ʁa.ɡwa
Nikaragwa;ni.ka.ʁa.ɡwa
Nikita;ni.ki.ta
Nikkei;ni.kɛj
Nikolaus;ɛlb
Nil;nil
Nilo;nil
Nils;nil
Nilu;nil
Nina;ni.na
Ninhydrin;na.ɔ.mi
Ninive;ni.niv
Ninjoïde;ninʒoid
Ninjoïdes;ninʒoid
Ninon;ni.nɔ̃
Ninove;ni.nɔv
Nintendo;nin.tɛn.do
Nintendos;nin.tɛn.do
Niolu;nio.lu
Nioronioro;njɔ.ʁɔ.njɔ.ʁɔ
Niortais;njɔʁ.tɛ
Niortaise;njɔʁ.tɛz
Niortaises;njɔʁ.tɛz
Nioué;njue
Niouéen;nju.e.ɛ̃
Niou;nju
Nippon;ni.pɔ̃
Nisa;ni.ko
Nissard;ni.saʁ
Nissards;ni.saʁ
Nisse;nis
Niue;nju.e
Niuo;njue
Nivelle;ni.vɛl
Nivelles;ni.vɛl
Nivellois;ni.vɛ.lwa
Nivelloise;ni.vɛ.lwaz
Nivelloises;ni.vɛ.lwaz
Nivernais;ni.vɛʁ.nɛ
Nivernaise;ni.vɛʁ.nɛz
Nivernaises;ni.vɛʁ.nɛz
Nix;niks
Nizza;na.ɔ.mi
Noé;nɔ.e
Noémi;no.e.mi
Noémia;nɔ.e.mja
Noémie;no.e.mi
Noël;nɔ.ɛl
Noëlle;nɔ.ɛl
NoSQL;no.ɛs.ky.ɛl
Noachien;nɔ.a.kjɛ̃
Noam;nɔ.am
Noame;nɔ.am
Noami;nɔ.a.mi
Nobéré;nɔ.be.ʁe
Nobelists;na.ty.ʁa.li.za.sjɔ̃
Nocé;nɔ.se
Nochizois;nɔ.ʃi.zwa
Nochizoise;nɔ.ʃi.zwaz
Nochizoises;nɔ.ʃi.zwaz
Nointel;nwɛ̃.tɛl
Noir;nwaʁ
Noire;nwaʁ
Noires;nwaʁ
Noirs;nwaʁ
Noiseau;nwa.zo
Nollywood;nɔ.li.wud
Nomininguien;nɔ.mi.nɛ̃.ɡjɛ̃
Nomininguois;nɔ.mi.nɛ̃.ɡwa
Nona;nɔ.na
Nonant;nɔ.nɑ̃
Nonchalance;na.ɔ.mi
Noncharliestan;nɔ̃.ʃaʁ.li.stɑ̃
Nonnat;nɔ.na
Nonne;nju.e
Nontron;nɔ̃.tʁɔ̃
Norbert;nɔʁ.bɛʁ
Norbertien;nɔʁ.bɛʁ.tjɛ̃
Norbertois;nɔʁ.bɛʁ.twa
Norbertvillois;nɔʁ.bɛʁ.vi.lwa
Nord;nɔʁ
Nordcôtien;nɔʁ.ko.tjɛ̃
Nordcôtier;nɔʁ.ko.tje
Nordestina;nɔʁ.dɛs.ti.na
Nordestinas;nɔʁ.dɛs.ti.nas
Nordestino;nɔʁ.dɛs.ti.no
Nordestinos;nɔʁ.dɛs.ti.nos
Nordeuropa;nju.e
Nordien;nɔʁ.djɛ̃
Nordkorea;nju.e
Nordkoreaner;nju.e
Nordkoreanerin;nju.e
Nordost;na.ɔ.mi
Nordpolarmeer;nju.e
Nordriverain;nɔʁ.ʁiv.ʁɛ̃
Nords;nɔʁ
Nordterritoriet;ɛs.ty.djɑ̃.tɛ̃
Nordwest;na.ɔ.mi
Norien;nɔ.ʁjɛ̃
Normétalien;nɔʁ.me.ta.ljɛ̃
Normand;nɔʁ.mɑ̃
Normande;nɔʁ.mɑ̃d
Normandel;nɔʁ.mɑ̃.dɛl
Normandes;nɔʁ.mɑ̃d
Normandië;nɔʁ.mɑ̃.di
Normandie;nɔʁ.mɑ̃.di
Normandiet;nɔʁ.mɑ̃.di
Normandig;nɔʁ.mɑ̃.di
Normandio;nɔʁ.mɑ̃.di
Normands;nɔʁ.mɑ̃
Normopathie;nɔʁ.mɔ.pa.ti
Norolles;nɔ.ʁɔl
Northfieldien;nɔʁt.fil.djɛ̃
Norvège;nɔʁ.vɛʒ
Norvégien;nɔʁ.ve.ʒjɛ̃
Norvégienne;nɔʁ.ve.ʒjɛn
Norvégiennes;nɔʁ.ve.ʒjɛn
Norvégiens;nɔʁ.ve.ʒjɛ̃
Norwége;nɔʁveʒ
Norwégien;nɔʁ.ve.ʒjɛ̃
Norwégiens;nɔʁ.ve.ʒjɛ̃
Norweger;nju.e
Norwegerin;nju.e
Norwegisch;na.ɔ.mi
Nostochinées;nɔ.stɔ.ki.ne
Notarique;nɔ.ta.ʁik
Nothomb;nɔ.tɔ̃
Notredamois;nɔ.tʁə.da.mwa
Nouakchott;nwak.ʃɔt
Noubel;nubɛl
Nouméa;nu.mea
Nouna;nu.na
Nouredinne;nuʁ.din
Nourray;nu.ʁɛ
Nouvelle;nu.vɛl
Nouvellois;nu.vɛ.lwa
Novgorod;nɔv.ɡo.ʁɔd
Novosibirscum;no.vo.si.biʁsk
Novosibirska;no.vo.si.biʁsk
Novosibirskas;no.vo.si.biʁsk
Novossibirsk;no.vo.si.biʁsk
Novoszibirszk;no.vo.si.biʁsk
Novzelando;ɛ̃.tɛʁ.lɛkt
Nowosibirsk;no.vo.si.biʁsk
Nowosybirsk;no.vo.si.biʁsk
Noyantais;nɔ.jɑ̃.tɛ
Nozay;nɔ.zɛ
Ntoto;ɛ̃.fi.ni.tyd
Nubien;ny.bjɛ̃
Nubienne;ny.bjɛn
Nubiennes;ny.bjɛn
Nubiens;ny.bjɛ̃
Nucourt;ny.kuʁ
Nugat;na.ɔ.mi
Null;ɛ̃.pɛʁ.ti.nɑ̃
Nullstellensatz;nyl.stɛ.lɛn.sats
Nunavik;ny.na.vik
Nunavimiuq;nu.na.vi.mjuk
Nunavimmiuq;nu.na.vi.mjuk
Nunavois;nu.na.vwa
Nunavummiuq;nu.na.vu.mjuk
Nunavummiut;nu.na.vu.mjut
Nunavutois;nu.na.vu.twa
Nutella;ɛ̃.fo.nɥa.ʒik
Nuuk;nuk
Nyasaland;nja.sa.lɑ̃d
Nyassaland;nja.sa.lɑ̃d
Nymphalidae;nɛ̃.fa.li.de
Nymphomanie;ny.bjɛ̃
Nyon;njɔ̃
Nyonnais;njɔ.nɛ
Nyonnaise;njɔ.nɛz
Nyonnaises;njɔ.nɛz
Nyons;njɔ̃
Nyx;niks
nâga;na.ɡa
nâgarî;na.ɡa.ʁi
nèfe;nɛf
nèfle;nɛfl
nèfles;nɛfl
nègre;nɛɡʁ
nèpe;nɛp
nèpes;nɛp
nèrvi;ɛ̃.fʁa.pa.ʒi.no
né;ne
néala;ne.a.la
néandertaliens;ne.ɑ̃.dɛʁ.ta.ljɛ̃
néanderthaliens;ne.ɑ̃.dɛʁ.ta.ljɛ̃
néanmoins;ne.ɑ̃.mwɛ̃
néantîmes;ne.ɑ̃.tim
néantît;ne.ɑ̃.ti
néantîtes;ne.ɑ̃.tit
néant;ne.ɑ̃
néanti;ne.ɑ̃.ti
néantie;ne.ɑ̃.ti
néanties;ne.ɑ̃.ti
néantir;ne.ɑ̃.tiʁ
néantira;ne.ɑ̃.ti.ʁa
néantirai;ne.ɑ̃.ti.ʁe
néantiraient;ne.ɑ̃.ti.ʁɛ
néantirais;ne.ɑ̃.ti.ʁɛ
néantirait;ne.ɑ̃.ti.ʁɛ
néantiras;ne.ɑ̃.ti.ʁa
néantirent;ne.ɑ̃.tiʁ
néantirez;ne.ɑ̃.ti.ʁe
néantiriez;ne.ɑ̃.ti.ʁje
néantirions;ne.ɑ̃.ti.ʁjɔ̃
néantirons;ne.ɑ̃.ti.ʁɔ̃
néantiront;ne.ɑ̃.ti.ʁɔ̃
néantisâmes;ne.ɑ̃.ti.zam
néantisât;ne.ɑ̃.ti.za
néantisâtes;ne.ɑ̃.ti.zat
néantisèrent;ne.ɑ̃.ti.zɛʁ
néantisé;ne.ɑ̃.ti.ze
néantisée;ne.ɑ̃.ti.ze
néantisées;ne.ɑ̃.ti.ze
néantisés;ne.ɑ̃.ti.ze
néantis;ne.ɑ̃.ti
néantisa;ne.ɑ̃.ti.za
néantisai;ne.ɑ̃.ti.ze
néantisaient;ne.ɑ̃.ti.zɛ
néantisais;ne.ɑ̃.ti.zɛ
néantisait;ne.ɑ̃.ti.zɛ
néantisant;ne.ɑ̃.ti.zɑ̃
néantisas;ne.ɑ̃.ti.za
néantisasse;ne.ɑ̃.ti.zas
néantisassent;ne.ɑ̃.ti.zas
néantisasses;ne.ɑ̃.ti.zas
néantisassiez;ne.ɑ̃.ti.za.sje
néantisassions;ne.ɑ̃.ti.za.sjɔ̃
néantise;ne.ɑ̃.tiz
néantisent;ne.ɑ̃.tiz
néantiser;ne.ɑ̃.ti.ze
néantisera;ne.ɑ̃.ti.zə.ʁa
néantiserai;ne.ɑ̃.ti.zə.ʁe
néantiseraient;ne.ɑ̃.ti.zə.ʁɛ
néantiserais;ne.ɑ̃.ti.zə.ʁɛ
néantiserait;ne.ɑ̃.ti.zə.ʁɛ
néantiseras;ne.ɑ̃.ti.zə.ʁa
néantiserez;ne.ɑ̃.ti.zə.ʁe
néantiseriez;ne.ɑ̃.ti.zə.ʁje
néantiserions;ne.ɑ̃.ti.zə.ʁjɔ̃
néantiserons;ne.ɑ̃.ti.zə.ʁɔ̃
néantiseront;ne.ɑ̃.ti.zə.ʁɔ̃
néantises;ne.ɑ̃.tiz
néantisez;ne.ɑ̃.ti.ze
néantisiez;ne.ɑ̃.ti.zje
néantisions;ne.ɑ̃.ti.zjɔ̃
néantisons;ne.ɑ̃.ti.zɔ̃
néantissaient;ne.ɑ̃.ti.sɛ
néantissais;ne.ɑ̃.ti.sɛ
néantissait;ne.ɑ̃.ti.sɛ
néantissant;ne.ɑ̃.ti.sɑ̃
néantisse;ne.ɑ̃.tis
néantissent;ne.ɑ̃.tis
néantisses;ne.ɑ̃.tis
néantissez;ne.ɑ̃.ti.se
néantissiez;ne.ɑ̃.ti.sje
néantissions;ne.ɑ̃.ti.sjɔ̃
néantissons;ne.ɑ̃.ti.sɔ̃
néantit;ne.ɑ̃.ti
néants;ne.ɑ̃
nébride;ne.bʁid
nébulé;nyk.le.e
nébulaire;ne.by.lɛʁ
nébuleuse;ne.by.løz
nébuleusement;ne.by.løz.mɑ̃
nébuleuses;ne.by.løz
nébulisâmes;ne.by.li.zam
nébulisât;ne.by.li.za
nébulisâtes;ne.by.li.zat
nébulisèrent;ne.by.li.zɛʁ
nébulisé;ne.by.li.ze
nébulisée;ne.by.li.ze
nébulisées;ne.by.li.ze
nébulisés;ne.by.li.ze
nébulisa;ne.by.li.za
nébulisai;ne.by.li.ze
nébulisaient;ne.by.li.zɛ
nébulisais;ne.by.li.zɛ
nébulisait;ne.by.li.zɛ
nébulisant;ne.by.li.zɑ̃
nébulisas;ne.by.li.za
nébulisasse;ne.by.li.zas
nébulisassent;ne.by.li.zas
nébulisasses;ne.by.li.zas
nébulisassiez;ne.by.li.za.sje
nébulisassions;ne.by.li.za.sjɔ̃
nébulisation;ne.by.li.za.sjɔ̃
nébulise;ne.by.liz
nébulisent;ne.by.liz
nébuliser;ne.by.li.ze
nébulisera;ne.by.li.zə.ʁa
nébuliserai;ne.by.li.zə.ʁe
nébuliseraient;ne.by.li.zə.ʁɛ
nébuliserais;ne.by.li.zə.ʁɛ
nébuliserait;ne.by.li.zə.ʁɛ
nébuliseras;ne.by.li.zə.ʁa
nébuliserez;ne.by.li.zə.ʁe
nébuliseriez;ne.by.li.zə.ʁje
nébuliserions;ne.by.li.zə.ʁjɔ̃
nébuliserons;ne.by.li.zə.ʁɔ̃
nébuliseront;ne.by.li.zə.ʁɔ̃
nébulises;ne.by.liz
nébuliseur;ne.by.li.zœʁ
nébuliseurs;na.va.ʁo
nébulisez;ne.by.li.ze
nébulisiez;ne.by.li.zje
nébulisions;ne.by.li.zjɔ̃
nébulisons;ne.by.li.zɔ̃
nébulosité;ne.by.lo.zi.te
nébulosités;ne.by.lo.zi.te
nécessaire;ne.se.sɛʁ
nécessairement;ne.se.sɛʁ.mɑ̃
nécessaires;ne.se.sɛʁ
nécessarien;ne.sɛ.sa.ʁjɛ̃
nécessitâmes;ne.se.si.tam
nécessitât;ne.se.si.ta
nécessitâtes;ne.se.si.tat
nécessitèrent;ne.se.si.tɛʁ
nécessité;ne.se.si.te
nécessitée;ne.se.si.te
nécessitées;ne.se.si.te
nécessités;ne.se.si.te
nécessita;ne.se.si.ta
nécessitables;na.va.ʁo
nécessitai;ne.se.si.te
nécessitaient;ne.se.si.tɛ
nécessitais;ne.se.si.tɛ
nécessitait;ne.se.si.tɛ
nécessitant;ne.sɛ.si.tɑ̃
nécessitantes;ne.sɛ.si.tɑ̃t
nécessitants;ne.sɛ.si.tɑ̃
nécessitarisme;ne.sɛ.si.ta.ʁism
nécessitarismes;ne.sɛ.si.ta.ʁism
nécessitas;ne.se.si.ta
nécessitasse;ne.se.si.tas
nécessitassent;ne.se.si.tas
nécessitasses;ne.se.si.tas
nécessitassiez;ne.se.si.ta.sje
nécessitassions;ne.se.si.ta.sjɔ̃
nécessitatif;ne.se.si.ta.tif
nécessitatifs;ne.se.si.ta.tif
nécessitation;ne.sɛ.si.ta.sjɔ̃
nécessite;ne.se.sit
nécessitent;ne.se.sit
nécessiter;ne.se.si.te
nécessitera;ne.se.si.tə.ʁa
nécessiterai;ne.se.si.tə.ʁe
nécessiteraient;ne.se.si.tə.ʁɛ
nécessiterais;ne.se.si.tə.ʁɛ
nécessiterait;ne.se.si.tə.ʁɛ
nécessiteras;ne.se.si.tə.ʁa
nécessiterez;ne.se.si.tə.ʁe
nécessiteriez;ne.se.si.tə.ʁje
nécessiterions;ne.se.si.tə.ʁjɔ̃
nécessiterons;ne.se.si.tə.ʁɔ̃
nécessiteront;ne.se.si.tə.ʁɔ̃
nécessites;ne.se.sit
nécessiteuses;ne.se.si.tøz
nécessiteux;ne.se.si.tø
nécessitez;ne.se.si.te
nécessitiez;ne.se.si.tje
nécessitions;ne.se.si.tjɔ̃
nécessitons;ne.se.si.tɔ̃
néchinois;ne.ʃi.nwa
néchinoise;ne.ʃi.nwaz
néchinoises;ne.ʃi.nwaz
nécridie;nek.ʁi.di
nécridies;nek.ʁi.di
nécro;nek.ʁo
nécrobie;nek.ʁo.bi
nécrobies;nek.ʁɔ.bi
nécrobioses;nek.ʁɔ.bjɔz
nécrobiotique;nek.ʁɔ.bjo.tik
nécrologe;nek.ʁɔ.lɔʒ
nécrologie;nek.ʁɔ.lɔ.ʒi
nécrologies;nek.ʁɔ.lɔ.ʒi
nécrologique;nek.ʁɔ.lɔ.ʒik
nécrologiques;na.va.ʁo
nécrologue;nek.ʁo.lɔɡ
nécrologues;na.va.ʁo
nécrolyse;nek.ʁɔ.liz
nécrolyses;nek.ʁɔ.liz
nécromancie;nek.ʁɔ.mɑ̃.si
nécromanciens;nek.ʁɔ.mɑ̃.sjɛ̃
nécromancies;nek.ʁɔ.mɑ̃.si
nécromantique;nek.ʁɔ.mɑ̃.tik
nécromantiques;nek.ʁɔ.mɑ̃.tik
nécromasse;nek.ʁo.mas
nécromasses;na.va.ʁo
nécrophage;nek.ʁɔ.faʒ
nécrophagique;nek.ʁɔ.fa.ʒik
nécrophile;nek.ʁɔ.fil
nécrophiles;na.va.ʁo
nécrophilie;nek.ʁɔ.fi.li
nécrophilies;na.va.ʁo
nécrophobie;nek.ʁɔ.fɔ.bi
nécropole;nek.ʁɔ.pɔl
nécropoles;nek.ʁɔ.pɔl
nécropsiâmes;nek.ʁɔp.sjam
nécropsiât;nek.ʁɔp.sja
nécropsiâtes;nek.ʁɔp.sjat
nécropsièrent;nek.ʁɔp.sjɛʁ
nécropsié;nek.ʁɔp.sje
nécropsiée;nek.ʁɔp.sje
nécropsiées;nek.ʁɔp.sje
nécropsiés;nek.ʁɔp.sje
nécropsia;nek.ʁɔp.sja
nécropsiai;nek.ʁɔp.sje
nécropsiaient;nek.ʁɔp.sjɛ
nécropsiais;nek.ʁɔp.sjɛ
nécropsiait;nek.ʁɔp.sjɛ
nécropsiant;nek.ʁɔp.sjɑ̃
nécropsias;nek.ʁɔp.sja
nécropsiasse;nek.ʁɔp.sjas
nécropsiassent;nek.ʁɔp.sjas
nécropsiasses;nek.ʁɔp.sjas
nécropsiassiez;nek.ʁɔp.sja.sje
nécropsiassions;nek.ʁɔp.sja.sjɔ̃
nécropsie;nek.ʁo.psi
nécropsient;nek.ʁɔp.si
nécropsier;nek.ʁɔp.sje
nécropsiera;nek.ʁɔp.si.ʁa
nécropsierai;nek.ʁɔp.si.ʁe
nécropsieraient;nek.ʁɔp.si.ʁɛ
nécropsierais;nek.ʁɔp.si.ʁɛ
nécropsierait;nek.ʁɔp.si.ʁɛ
nécropsieras;nek.ʁɔp.si.ʁa
nécropsierez;nek.ʁɔp.si.ʁe
nécropsieriez;nek.ʁɔp.si.ʁje
nécropsierions;nek.ʁɔp.si.ʁjɔ̃
nécropsierons;nek.ʁɔp.si.ʁɔ̃
nécropsieront;nek.ʁɔp.si.ʁɔ̃
nécropsies;nek.ʁɔp.si
nécropsiez;nek.ʁɔp.sje
nécropsiiez;nek.ʁɔp.si.je
nécropsiions;nek.ʁɔp.si.jɔ̃
nécropsions;nek.ʁɔp.sjɔ̃
nécrosâmes;nek.ʁo.zam
nécrosât;nek.ʁo.za
nécrosâtes;nek.ʁo.zat
