Wabanaki;wa.ba.na.ki
wahabiser;wa.a.bi.ze
wahabisera;wa.a.bi.zə.ʁa
wahabiserai;wa.a.bi.zə.ʁe
wahabiseraient;wa.a.bi.zə.ʁɛ
wahabiserais;wa.a.bi.zə.ʁɛ
wahabiserait;wa.a.bi.zə.ʁɛ
wahabiseras;wa.a.bi.zə.ʁa
wahabiserez;wa.a.bi.zə.ʁe
wahabiseriez;wa.a.bi.zə.ʁje
wahabiserions;wa.a.bi.zə.ʁjɔ̃
wahabiserons;wa.a.bi.zə.ʁɔ̃
wahabiseront;wa.a.bi.zə.ʁɔ̃
wahabises;wa.a.biz
wahabisez;wa.a.bi.ze
wahabisiez;wa.a.bi.zje
wahabisions;wa.a.bi.zjɔ̃
wahabisme;wa.a.bism
wahabismes;wa.a.bism
wahabisons;wa.a.bi.zɔ̃
wahabite;wa.a.bit
wahabites;wa.a.bit
wahhabisâmes;wa.a.bi.zam
wahhabisât;wa.a.bi.za
wahhabisâtes;wa.a.bi.zat
wahhabisèrent;wa.a.bi.zɛʁ
wahhabisé;wa.a.bi.ze
wahhabisée;wa.a.bi.ze
wahhabisées;wa.a.bi.ze
wahhabisés;wa.a.bi.ze
wahhabisa;wa.a.bi.za
wahhabisai;wa.a.bi.ze
wahhabisaient;wa.a.bi.zɛ
wahhabisais;wa.a.bi.zɛ
wahhabisait;wa.a.bi.zɛ
wahhabisant;wa.a.bi.zɑ̃
wahhabisas;wa.a.bi.za
wahhabisasse;wa.a.bi.zas
wahhabisassent;wa.a.bi.zas
wahhabisasses;wa.a.bi.zas
wahhabisassiez;wa.a.bi.za.sje
wahhabisassions;wa.a.bi.za.sjɔ̃
wahhabise;wa.a.biz
wahhabisent;wa.a.biz
wahhabiser;wa.a.bi.ze
wahhabisera;wa.a.bi.zə.ʁa
wahhabiserai;wa.a.bi.zə.ʁe
wahhabiseraient;wa.a.bi.zə.ʁɛ
wahhabiserais;wa.a.bi.zə.ʁɛ
wahhabiserait;wa.a.bi.zə.ʁɛ
wahhabiseras;wa.a.bi.zə.ʁa
wahhabiserez;wa.a.bi.zə.ʁe
wahhabiseriez;wa.a.bi.zə.ʁje
wahhabiserions;wa.a.bi.zə.ʁjɔ̃
wahhabiserons;wa.a.bi.zə.ʁɔ̃
wahhabiseront;wa.a.bi.zə.ʁɔ̃
wahhabises;wa.a.biz
wahhabisez;wa.a.bi.ze
wahhabisiez;wa.a.bi.zje
wahhabisions;wa.a.bi.zjɔ̃
wahhabisme;wa.a.bism
wahhabismes;wa.a.bism
wahhabisons;wa.a.bi.zɔ̃
wahhabite;wa.a.bit
wahhabites;wa.a.bit
waif;dja.ʁist
waigali;wa.i.ɡa.li
wails;wɑtʃ
waimerais;wem.ʁɛ
wains;de.mɔ̃
wainscot;wi.kɛnd
waira;de.kɔ.ʁa.ti.vism
waiters;wɛ.fœʁ
waitress;we.tʁɛs
waives;wɑtʃ
wak;vi.za
waka;wa.ka
wakame;wa.ka.me
wakames;wa.ka.me
wakeskate;wɛk.skɛt
wakeskates;wɛk.skɛt
wakeups;vɔ.li.tiv
wakfs;de.mɔ.ɡʁa.fik
wakil;de.kal.si.ne
wakisashi;wa.ki.za.ʃi
wakizashi;wa.ki.za.ʃi
wakouf;wa.kuf
wal;vi.za
waldo;de.fɔ̃k.sjɔ.na.ʁi.zə.ʁɛ
wali;wa.li
walida;wa.li.da
walkers;wɛ.fœʁ
walkman;wɔlk.man
walkmans;wal.kman
walkouts;wip.kɔʁd
walkyrie;val.ki.ʁi
walkyries;vi.ka.ʁja
wallâmes;wɔ.lam
wallât;wɔ.la
wallâtes;wɔ.lat
wallèrent;wɔ.lɛʁ
wallé;wɔ.le
walla;wɔ.la
wallaby;wa.la.bi
wallai;wɔ.le
wallaient;wɔ.lɛ
wallais;wɔ.lɛ
wallait;wɔ.lɛ
wallant;wɔ.lɑ̃
wallaroos;dɔk.tœʁ
wallas;wɔ.la
wallasse;wɔ.las
wallassent;wɔ.las
wallasses;wɔ.las
wallassiez;wɔ.la.sje
wallassions;wɔ.la.sjɔ̃
wallcharts;vɛʁ.mi.vɔʁ
walle;wɔl
wallent;wɔl
waller;wɔ.le
wallera;wɔ.lə.ʁa
wallerai;wɔ.lə.ʁe
walleraient;wɔ.lə.ʁɛ
wallerais;wɔ.lə.ʁɛ
wallerait;wɔ.lə.ʁɛ
walleras;wɔ.lə.ʁa
wallerez;wɔ.lə.ʁe
walleriez;wɔ.lə.ʁje
wallerions;wɔ.lə.ʁjɔ̃
wallerons;wɔ.lə.ʁɔ̃
walleront;wɔ.lə.ʁɔ̃
walles;wɔl
wallez;wɔ.le
walliez;wɔ.lje
wallingantisme;wa.lɛ̃.ɡɑ̃.tism
wallingants;wa.lɛ̃.ɡɑ̃
wallions;wɔ.ljɔ̃
wallisien;wa.li.zjɛ̃
wallisienne;wa.li.zjɛn
wallisiennes;wa.li.zjɛn
wallisiens;wa.li.zjɛ̃
wallon;wa.lɔ̃
wallonisâmes;wa.lɔ.ni.zam
wallonisât;wa.lɔ.ni.za
wallonisâtes;wa.lɔ.ni.zat
wallonisèrent;wa.lɔ.ni.zɛʁ
wallonisé;wa.lɔ.ni.ze
wallonisée;wa.lɔ.ni.ze
wallonisées;wa.lɔ.ni.ze
wallonisés;wa.lɔ.ni.ze
wallonisa;wa.lɔ.ni.za
wallonisable;wa.lɔ.ni.zabl
wallonisables;wa.lɔ.ni.zabl
wallonisai;wa.lɔ.ni.ze
wallonisaient;wa.lɔ.ni.zɛ
wallonisais;wa.lɔ.ni.zɛ
wallonisait;wa.lɔ.ni.zɛ
wallonisant;wa.lɔ.ni.zɑ̃
wallonisas;wa.lɔ.ni.za
wallonisasse;wa.lɔ.ni.zas
wallonisassent;wa.lɔ.ni.zas
wallonisasses;wa.lɔ.ni.zas
wallonisassiez;wa.lɔ.ni.za.sje
wallonisassions;wa.lɔ.ni.za.sjɔ̃
wallonisation;wa.lɔ.ni.za.sjɔ̃
wallonisations;wa.lɔ.ni.za.sjɔ̃
wallonise;wa.lɔ.niz
wallonisent;wa.lɔ.niz
walloniser;wa.lɔ.ni.ze
wallonisera;wa.lɔ.ni.zə.ʁa
walloniserai;wa.lɔ.ni.zə.ʁe
walloniseraient;wa.lɔ.ni.zə.ʁɛ
walloniserais;wa.lɔ.ni.zə.ʁɛ
walloniserait;wa.lɔ.ni.zə.ʁɛ
walloniseras;wa.lɔ.ni.zə.ʁa
walloniserez;wa.lɔ.ni.zə.ʁe
walloniseriez;wa.lɔ.ni.zə.ʁje
walloniserions;wa.lɔ.ni.zə.ʁjɔ̃
walloniserons;wa.lɔ.ni.zə.ʁɔ̃
walloniseront;wa.lɔ.ni.zə.ʁɔ̃
wallonises;wa.lɔ.niz
wallonisez;wa.lɔ.ni.ze
wallonisiez;wa.lɔ.ni.zje
wallonisions;wa.lɔ.ni.zjɔ̃
wallonisme;wa.lɔ.nism
wallonisons;wa.lɔ.ni.zɔ̃
wallonnâmes;wa.lɔ.nam
wallonnât;wa.lɔ.na
wallonnâtes;wa.lɔ.nat
wallonnèrent;wa.lɔ.nɛʁ
wallonné;wa.lɔ.ne
wallonna;wa.lɔ.na
wallonnai;wa.lɔ.ne
wallonnaient;wa.lɔ.nɛ
wallonnais;wa.lɔ.nɛ
wallonnait;wa.lɔ.nɛ
wallonnant;wa.lɔ.nɑ̃
wallonnas;wa.lɔ.na
wallonnasse;wa.lɔ.nas
wallonnassent;wa.lɔ.nas
wallonnasses;wa.lɔ.nas
wallonnassiez;wa.lɔ.na.sje
wallonnassions;wa.lɔ.na.sjɔ̃
wallonne;wa.lɔn
wallonnent;wa.lɔn
wallonner;wa.lɔ.ne
wallonnera;wa.lɔ.nə.ʁa
wallonnerai;wa.lɔ.nə.ʁe
wallonneraient;wa.lɔ.nə.ʁɛ
wallonnerais;wa.lɔ.nə.ʁɛ
wallonnerait;wa.lɔ.nə.ʁɛ
wallonneras;wa.lɔ.nə.ʁa
wallonnerez;wa.lɔ.nə.ʁe
wallonneriez;wa.lɔ.nə.ʁje
wallonnerions;wa.lɔ.nə.ʁjɔ̃
wallonnerons;wa.lɔ.nə.ʁɔ̃
wallonneront;wa.lɔ.nə.ʁɔ̃
wallonnes;wa.lɔn
wallonnez;wa.lɔ.ne
wallonniez;wa.lɔ.nje
wallonnions;wa.lɔ.njɔ̃
wallonnons;wa.lɔ.nɔ̃
wallonophone;wa.lɔ.nɔ.fɔn
wallonophones;wa.lɔ.nɔ.fɔn
wallons;wa.lɔ̃
wallophone;wa.lɔ.fɔn
wallpapered;ve.to
wallpapering;ve.to
wallpapers;ve.to
walnoteboom;wa.tɛʁp.ʁuf
walou;wa.lu
walrassien;val.ʁa.sjɛ̃
walrassienne;val.ʁa.sjɛn
walrassiennes;val.ʁa.sjɛn
walrassiens;val.ʁa.sjɛ̃
walrus;wal.ʁys
waltzers;wip.kɔʁd
walvis;vɔl
wam;de.zi.ly.zjɔ.nə.ʁɔ̃
wampanoag;wam.pa.nɔ.aɡ
wampanoags;wam.pa.nɔ.aɡ
wampis;wɑ̃.pi
wampum;wam.pum
wampums;wam.pum
wanag;wɔn
wanak;wɔn
wand;vɛʁ
wandeling;vɛʁ
wandelpad;vɔl
wanderings;va.zo.kɔ̃s.tʁik.sjɔ̃
wanders;wɑtʃ
wanen;vɑ̃.dʁə.dit
wangedrag;vɑ̃.dʁə.dit
wankant;vɑ̃.dʁə.dit
wann;de.ku.ʁa.ʒe
wanneer;vɔl
wanprestatie;vɑ̃.dʁə.dit
wantrouwen;wa.tɛʁp.ʁuf
waou;waw
waouh;waw
wapa;wa.pa
wapas;wa.pa
wapenspreuk;wa.tɛʁk.lo.zɛt
wapiti;wa.pi.ti
wapitis;wa.pi.ti
war;dʒɔb
warandeurs;va.ʁɑ̃.dœʁ
waranto;vɛʁ.so
waray;vo.ʁo
warbonnets;wip.kɔʁd
wardens;vɔ.lɔ̃.tɛʁ
warehoused;de.zɑ̃.kas.tʁə.ʁɛ
warenhuis;vɛʁ
warf;waʁf
warfo;vɛʁ.so
warholien;wa.ʁɔ.ljɛ̃
warholienne;wa.ʁɔ.ljɛn
warholiennes;wa.ʁɔ.ljɛn
warholiens;wa.ʁɔ.ljɛ̃
waria;de.za.mɔʁ.ti.ʁɛ
warishes;dɥa.liz
wark;waʁk
warlousketer;dʁa.ky.li.ze
warmtepomp;dwa.la
warnette;waʁ.nɛt
warnetteur;waʁ.nɛ.tœʁ
warplanes;vik.ti.mi.za.sjɔ̃
warrantâmes;wa.ʁɑ̃.tam
warrantât;wa.ʁɑ̃.ta
warrantâtes;wa.ʁɑ̃.tat
warrantèrent;wa.ʁɑ̃.tɛʁ
warranté;wa.ʁɑ̃.te
warrantée;wa.ʁɑ̃.te
warrantées;wa.ʁɑ̃.te
warrantés;wa.ʁɑ̃.te
warrant;va.ʁɑ̃
warranta;wa.ʁɑ̃.ta
warrantage;va.ʁɑ̃.taʒ
warrantai;wa.ʁɑ̃.te
warrantaient;wa.ʁɑ̃.tɛ
warrantais;wa.ʁɑ̃.tɛ
warrantait;wa.ʁɑ̃.tɛ
warrantant;wa.ʁɑ̃.tɑ̃
warrantas;wa.ʁɑ̃.ta
warrantasse;wa.ʁɑ̃.tas
warrantassent;wa.ʁɑ̃.tas
warrantasses;wa.ʁɑ̃.tas
warrantassiez;wa.ʁɑ̃.ta.sje
warrantassions;wa.ʁɑ̃.ta.sjɔ̃
warrante;wa.ʁɑ̃t
warrantent;wa.ʁɑ̃t
warranter;wa.ʁɑ̃.te
warrantera;wa.ʁɑ̃.tə.ʁa
warranterai;wa.ʁɑ̃.tə.ʁe
warranteraient;wa.ʁɑ̃.tə.ʁɛ
warranterais;wa.ʁɑ̃.tə.ʁɛ
warranterait;wa.ʁɑ̃.tə.ʁɛ
warranteras;wa.ʁɑ̃.tə.ʁa
warranterez;wa.ʁɑ̃.tə.ʁe
warranteriez;wa.ʁɑ̃.tə.ʁje
warranterions;wa.ʁɑ̃.tə.ʁjɔ̃
warranterons;wa.ʁɑ̃.tə.ʁɔ̃
warranteront;wa.ʁɑ̃.tə.ʁɔ̃
warrantes;wa.ʁɑ̃t
warrantez;wa.ʁɑ̃.te
warranties;di.kas.te.ʁjɛl
warrantiez;wa.ʁɑ̃.tje
warrantions;wa.ʁɑ̃.tjɔ̃
warrantons;wa.ʁɑ̃.tɔ̃
warrants;va.ʁɑ̃
warretée;wa.ʁə.te
warri;wa.ʁi
warrior;wa.ʁjɔʁ
warriors;de.sɛʁk.le
warrouillâmes;va.ʁu.jam
warrouillât;va.ʁu.ja
warrouillâtes;va.ʁu.jat
warrouillèrent;va.ʁu.jɛʁ
warrouillé;va.ʁu.je
warrouilla;va.ʁu.ja
warrouillai;va.ʁu.je
warrouillaient;va.ʁu.jɛ
warrouillais;va.ʁu.jɛ
warrouillait;va.ʁu.jɛ
warrouillant;va.ʁu.jɑ̃
warrouillas;va.ʁu.ja
warrouillasse;va.ʁu.jas
warrouillassent;va.ʁu.jas
warrouillasses;va.ʁu.jas
warrouillassiez;va.ʁu.ja.sje
warrouillassions;va.ʁu.ja.sjɔ̃
warrouille;va.ʁuj
warrouillent;va.ʁuj
warrouiller;va.ʁu.je
warrouillera;va.ʁu.jə.ʁa
warrouillerai;va.ʁu.jə.ʁe
warrouilleraient;va.ʁu.jə.ʁɛ
warrouillerais;va.ʁu.jə.ʁɛ
warrouillerait;va.ʁu.jə.ʁɛ
warrouilleras;va.ʁu.jə.ʁa
warrouillerez;va.ʁu.jə.ʁe
warrouilleriez;va.ʁu.jə.ʁje
warrouillerions;va.ʁu.jə.ʁjɔ̃
warrouillerons;va.ʁu.jə.ʁɔ̃
warrouilleront;va.ʁu.jə.ʁɔ̃
warrouilles;va.ʁuj
warrouillez;va.ʁu.je
warrouilliez;va.ʁu.je
warrouillions;va.ʁu.jɔ̃
warrouillons;va.ʁu.jɔ̃
was;vi.za
wasabi;wa.za.bi
wasabis;wa.za.bi
waschen;dʁɔp
washi;wa.ʃi
wasla;was.la
wasmachine;vɛʁ
wasmiddel;vɛʁ
waspish;wi.kɛnd
wasserette;wa.sə.ʁɛt
wasserglass;va.sɛʁ.ɡlas
wassingue;wa.sɛ̃ɡ
wassingues;wa.sɛ̃ɡ
waste;wast
wastebaskets;vɑ̃.pi.ʁɛs
wasz;vɛ̃t.sɛ̃k
wat;wat
watchâmes;wɑ.tʃam
watchât;wɑ.tʃa
watchâtes;wɑ.tʃat
watchèrent;wɑ.tʃɛʁ
watché;wɑ.tʃe
watchée;wɑ.tʃe
watchées;wɑ.tʃe
watchés;wɑ.tʃe
watcha;wɑ.tʃa
watchai;wɑ.tʃe
watchaient;wɑ.tʃɛ
watchais;wɑ.tʃɛ
watchait;wɑ.tʃɛ
watchant;wɑ.tʃɑ̃
watchas;wɑ.tʃa
watchasse;wɑ.tʃas
watchassent;wɑ.tʃas
watchasses;wɑ.tʃas
watchassiez;wɑ.tʃa.sje
watchassions;wɑ.tʃa.sjɔ̃
watche;wɑtʃ
watchent;wɑtʃ
watcher;wɑt.ʃe
watchera;wɑ.tʃə.ʁa
watcherai;wɑ.tʃə.ʁe
watcheraient;wɑ.tʃə.ʁɛ
watcherais;wɑ.tʃə.ʁɛ
watcherait;wɑ.tʃə.ʁɛ
watcheras;wɑ.tʃə.ʁa
watcherez;wɑ.tʃə.ʁe
watcheriez;wɑ.tʃə.ʁje
watcherions;wɑ.tʃə.ʁjɔ̃
watcherons;wɑ.tʃə.ʁɔ̃
watcheront;wɑ.tʃə.ʁɔ̃
watches;wɑtʃ
watchez;wɑ.tʃe
watchi;wa.tʃi
watchiez;wɑ.tʃje
watchions;wɑ.tʃjɔ̃
watchmen;wajp
watchons;wɑ.tʃɔ̃
water;wa.tɛʁ
waterafstotend;wa.tɛʁk.lo.zɛt
waterbalans;wa.tɛʁk.lo.zɛt
watercloset;wa.tɛʁk.lo.zɛt
watercolorists;vik.ti.mi.za.sjɔ̃
waterecht;wa.tɛʁk.lo.zɛt
waterijs;wa.tɛʁk.lo.zɛt
watering;wi.kɛnd
waterkanon;wa.tɛʁk.lo.zɛt
waterkering;wa.tɛʁp.ʁuf
waterkers;wiɡ.wam
waterkracht;wa.tɛʁp.ʁuf
waterlijn;wa.tɛʁk.lo.zɛt
watermark;va.liz
watermelons;wajp
watermijn;wa.tɛʁk.lo.zɛt
watermolen;wa.tɛʁp.ʁuf
wateroverslag;did.ʒe.ʁi.du
waterpers;wa.tɛʁk.lo.zɛt
waterpijpketel;did.ʒe.ʁi.du
waterpistool;wa.tɛʁk.lo.zɛt
waterpolo;wa.tɛʁ.po.lo
waterproef;wa.tɛʁp.ʁuf
waterproof;wa.tɛʁp.ʁuf
waterproofs;wa.tɛʁp.ʁuf
waters;wa.tɛʁ
watersheds;wajp
waterski;wi.kɛnd
waterspiegel;wa.tɛʁk.lo.zɛt
watersport;wa.tɛʁk.lo.zɛt
watersporter;wa.tɛʁk.lo.zɛt
watersports;di.viks
watersportster;wa.tɛʁk.lo.zɛt
waterspuitdicht;dis.tʁi.by.sjɔ̃
waterspuwer;wa.tɛʁk.lo.zɛt
waterstaat;wa.tɛʁk.lo.zɛt
waterstaatkundig;dis.tʁi.by.sjɔ̃
waterstand;wa.tɛʁk.lo.zɛt
waterwerper;wa.tɛʁk.lo.zɛt
watery;va.liz
waterzoi;wa.teʁ.zoj
waterzooi;wa.teʁ.zoj
watiste;wa.tist
watistes;wa.tist
watmil;wat.mil
watmille;wat.mil
wats;wat
watsi;de.jɔ.di.za
watté;wa.te
watt;wat
wattages;dy.ɔ.lɔ.ʒi
wattheure;wa.tœʁ
wattheures;wa.tœʁ
watti;vɔd.ka
wattmètre;wat.mɛtʁ
wattman;wat.man
wattmans;wat.man
wattmille;wat.mil
wattrelosien;wa.tʁə.lo.zjɛ̃
wattrelosienne;wa.tʁə.lo.zjɛn
watts;wat
watture;wa.tyʁ
wattures;wa.tyʁ
wau;wo
wauxhall;vɔk.sol
wauxhalls;vɔk.sol
wavelengths;wi.ki
wavrien;wa.vʁi.ɛ̃
waw;vav
wawa;wa.wa
wawaron;wa.wa.ʁɔ̃
wawarons;wa.wa.ʁɔ̃
wawling;vil
waws;de.mɔ̃
waxandor;wɔn
waxtaan;wɔn
waxtu;wɔn
waxworks;di.viks
wayampi;wa.jɑ̃.pi
wayampie;wa.jɑ̃.pi
wayampies;wa.jɑ̃.pi
wayampis;wa.jɑ̃.pi
wayments;dɥa.liz
wazungu;dek.lɔ.ʁy.ʁə.ʁɛ
wazzocks;vɔk.sɛl
wba;do.fi.ne
wbp;do.fi.ne
wbrew;vɛ̃t.sɛ̃k
wc;wa.tɛʁk.lo.zɛt
wczesny;vɛ̃t.sɛ̃k
weécho;vɛʁ.mi.ky.lyʁ
weéows;vɛʁ.mi.ky.lyʁ
weald;wɛld
wealdan;vi.ɲɛ.tam
wealdien;wɛl.djɛ̃
wearisome;va.liz
weavers;wi.dʒɛt
web;wɛb
webalogue;wɛ.ba.lɔɡ
webbot;de.ʁɔ.bɔ.ti.ze
webcamâmes;wɛb.ka.mam
webcamât;wɛb.ka.ma
webcamâtes;wɛb.ka.mat
webcamèrent;wɛb.ka.mɛʁ
webcamé;wɛb.ka.me
webcamée;wɛb.ka.me
webcamées;wɛb.ka.me
webcaméra;wɛb.ka.me.ʁa
webcamés;wɛb.ka.me
webcam;wɛb.kam
webcama;wɛb.ka.ma
webcamai;wɛb.ka.me
webcamaient;wɛb.ka.mɛ
webcamais;wɛb.ka.mɛ
webcamait;wɛb.ka.mɛ
webcamant;wɛb.ka.mɑ̃
webcamas;wɛb.ka.ma
webcamasse;wɛb.ka.mas
webcamassent;wɛb.ka.mas
webcamasses;wɛb.ka.mas
webcamassiez;wɛb.ka.ma.sje
webcamassions;wɛb.ka.ma.sjɔ̃
webcame;wɛb.kam
webcament;wɛb.kam
webcamer;wɛb.ka.me
webcamera;wɛb.ka.mə.ʁa
webcamerai;wɛb.ka.mə.ʁe
webcameraient;wɛb.ka.mə.ʁɛ
webcamerais;wɛb.ka.mə.ʁɛ
webcamerait;wɛb.ka.mə.ʁɛ
webcameras;wɛb.ka.mə.ʁa
webcamerez;wɛb.ka.mə.ʁe
webcameriez;wɛb.ka.mə.ʁje
webcamerions;wɛb.ka.mə.ʁjɔ̃
webcamerons;wɛb.ka.mə.ʁɔ̃
webcameront;wɛb.ka.mə.ʁɔ̃
