Jèrri;ʒɛʁ.zɛ
Jordaniens;jɔʁ.da.njɛ̃
Jort;ʒɔʁ
José;ʒo.ze
Josée;ʒo.ze
Joséphien;ʒo.ze.fjɛ̃
Joséphois;ʒo.ze.fwa
Joseph;ʒo.zɛf
Josephois;ʒo.zɛ.fwa
Josette;ʒo.zɛt
Josiane;ʒo.zjan
Joslin;ʒos.lɛ̃
Josline;ʒɔs.lin
Josselin;ʒo.se.lɛ̃
Josseline;ʒɔs.lin
Josselyne;ʒɔs.lin
Jossigny;ʒɔsiɲi
Josy;ʒo.zi
Jouéen;ʒwe.ɛ̃
Jouéenne;ʒwe.ɛn
Jouéennes;ʒwe.ɛn
Jouéens;ʒwe.ɛ̃
Joule;ʒul
Jourdain;ʒuʁ.dɛ̃
Jourdan;ʒuʁ.dɑ̃
Jourdany;ʒɔʁ.da.ni
Journalist;ʒul
Jouvenceaux;ʒu.vɑ̃.so
Jouvencelle;ʒu.vɑ̃.sɛl
Jouvencelles;ʒu.vɑ̃.sɛl
Jouxtanais;ʒuks.tɑ.nɛ
Jouxtanaise;ʒuks.tɑ.nɛz
Jouxtanaises;ʒuks.tɑ.nɛz
Jouxtens;ʒuks.tɑ̃
Jovéen;ʒɔ.ve.ɛ̃
Jovéenne;ʒɔ.ve.ɛn
Jovéennes;ʒɔ.ve.ɛn
Jovéens;ʒɔ.ve.ɛ̃
Jovien;ʒɔ.vjɛ̃
Jovienne;ʒɔ.vjɛn
Joviennes;ʒɔ.vjɛn
Joviens;ʒɔ.vjɛ̃
Jovitien;ʒɔ.vi.tjɛ̃
Jovitois;ʒɔ.vi.twa
Joyeux;ʒwa.jø
Juan;ʒɥɑ̃
Judée;ʒy.de
Juda;ʒy.da
Judas;jy.da
Jude;ʒyd
Judea;ʒy.de
Judicaël;ʒy.di.ka.ɛl
Judith;ʒy.dit
Judo;ʒy.do
Juif;ʒɥif
Juifs;ʒɥif
Juive;ʒɥiv
Juives;ʒɥiv
Jules;ʒyl
Juliénois;ʒy.lje.nwa
Julia;ʒy.lja
Julian;ʒy.ljɑ̃
Juliana;ʒy.lja.na
Julie;ʒy.li
Julien;ʒy.ljɛ̃
Julienne;ʒy.ljɛn
Juliennois;ʒy.ljɛ.nwa
Juliet;ʒy.ljɛt
Juliette;ʒy.ljɛt
Julievillois;ʒy.li.vi.lwa
Juline;ʒy.lin
Julius;ʒy.ljys
Julivillois;ʒy.li.vi.lwa
Junicoise;ʒy.ni.kwaz
Junine;ʒy.nin
Junior;ʒy.njɔʁ
Junon;ʒy.nɔ̃
Juntes;ʒɔ̃t
Jupitérien;ʒy.pi.te.ʁjɛ̃
Jupiter;ʒy.pi.tɛʁ
Jura;ʒy.ʁa
Jurançon;ʒy.ʁɑ̃.sɔ̃
Jurançonnais;ʒy.ʁɑ̃.sɔ.nɛ
Jurassien;ʒy.ʁa.sjɛ̃
Jurassienne;ʒy.ʁa.sjɛn
Jurassiennes;ʒy.ʁa.sjɛn
Jurassiens;ʒy.ʁa.sjɛ̃
Jurassique;ʒy.ʁa.sik
Jurques;ʒyʁk
Jurte;juʁt
Just;ʒyst
Juste;ʒyst
Justes;ʒyst
Justin;ʒys.tɛ̃
Justine;ʒys.tin
Justinien;ʒys.ti.njɛ̃
Justinois;ʒys.ti.nwa
Jutland;ʒyt.lɑ̃d
Juvenat;ʒy.ve.na
Juventas;ju.ven.tas
Jytomyr;ʒi.tɔ.miʁ
jà;ʒa
jâque;ʒɑk
jâques;ʒɑk
jèze;ʒɛz
jèzes;ʒɛz
jé;ʒe
jéhovisme;ʒe.ɔ.vism
jéhovismes;ʒe.ɔ.vism
jéhoviste;ʒe.ɔ.vist
jéhovistes;ʒo.nɑtʁ
jéjunum;ʒɛʒynɔm
jéjunums;ʒɛʒynɔm
jéquirity;ʒɛ.ki.ʁi.ti
jéquiritys;ʒɛ.ki.ʁi.ti
jérémiâmes;ʒe.ʁe.mjam
jérémiât;ʒe.ʁe.mja
jérémiâtes;ʒe.ʁe.mjat
jérémièrent;ʒe.ʁe.mjɛʁ
jérémié;ʒe.ʁe.mje
jérémia;ʒe.ʁe.mja
jérémiadâmes;ʒe.ʁe.mja.dam
jérémiadât;ʒe.ʁe.mja.da
jérémiadâtes;ʒe.ʁe.mja.dat
jérémiadèrent;ʒe.ʁe.mja.dɛʁ
jérémiadé;ʒe.ʁe.mja.de
jérémiada;ʒe.ʁe.mja.da
jérémiadai;ʒe.ʁe.mja.de
jérémiadaient;ʒe.ʁe.mja.dɛ
jérémiadais;ʒe.ʁe.mja.dɛ
jérémiadait;ʒe.ʁe.mja.dɛ
jérémiadant;ʒe.ʁe.mja.dɑ̃
jérémiadas;ʒe.ʁe.mja.da
jérémiadasse;ʒe.ʁe.mja.das
jérémiadassent;ʒe.ʁe.mja.das
jérémiadasses;ʒe.ʁe.mja.das
jérémiadassiez;ʒe.ʁe.mja.da.sje
jérémiadassions;ʒe.ʁe.mja.da.sjɔ̃
jérémiade;ʒe.ʁe.mjad
jérémiadent;ʒe.ʁe.mjad
jérémiader;ʒe.ʁe.mja.de
jérémiadera;ʒe.ʁe.mja.də.ʁa
jérémiaderai;ʒe.ʁe.mja.də.ʁe
jérémiaderaient;ʒe.ʁe.mja.də.ʁɛ
jérémiaderais;ʒe.ʁe.mja.də.ʁɛ
jérémiaderait;ʒe.ʁe.mja.də.ʁɛ
jérémiaderas;ʒe.ʁe.mja.də.ʁa
jérémiaderez;ʒe.ʁe.mja.də.ʁe
jérémiaderiez;ʒe.ʁe.mja.də.ʁje
jérémiaderions;ʒe.ʁe.mja.də.ʁjɔ̃
jérémiaderons;ʒe.ʁe.mja.də.ʁɔ̃
jérémiaderont;ʒe.ʁe.mja.də.ʁɔ̃
jérémiades;ʒe.ʁe.mjad
jérémiadez;ʒe.ʁe.mja.de
jérémiadiez;ʒe.ʁe.mja.dje
jérémiadions;ʒe.ʁe.mja.djɔ̃
jérémiadons;ʒe.ʁe.mja.dɔ̃
jérémiai;ʒe.ʁe.mje
jérémiaient;ʒe.ʁe.mjɛ
jérémiais;ʒe.ʁe.mjɛ
jérémiait;ʒe.ʁe.mjɛ
jérémiant;ʒe.ʁe.mjɑ̃
jérémias;ʒe.ʁe.mja
jérémiasse;ʒe.ʁe.mjas
jérémiassent;ʒe.ʁe.mjas
jérémiasses;ʒe.ʁe.mjas
jérémiassiez;ʒe.ʁe.mja.sje
jérémiassions;ʒe.ʁe.mja.sjɔ̃
jérémie;ʒe.ʁe.mi
jérémient;ʒe.ʁe.mi
jérémier;ʒe.ʁe.mje
jérémiera;ʒe.ʁe.mi.ʁa
jérémierai;ʒe.ʁe.mi.ʁe
jérémieraient;ʒe.ʁe.mi.ʁɛ
jérémierais;ʒe.ʁe.mi.ʁɛ
jérémierait;ʒe.ʁe.mi.ʁɛ
jérémieras;ʒe.ʁe.mi.ʁa
jérémierez;ʒe.ʁe.mi.ʁe
jérémieriez;ʒe.ʁe.mi.ʁje
jérémierions;ʒe.ʁe.mi.ʁjɔ̃
jérémierons;ʒe.ʁe.mi.ʁɔ̃
jérémieront;ʒe.ʁe.mi.ʁɔ̃
jérémies;ʒe.ʁe.mi
jérémiez;ʒe.ʁe.mje
jérémiiez;ʒe.ʁe.mi.je
jérémiions;ʒe.ʁe.mi.jɔ̃
jérémions;ʒe.ʁe.mjɔ̃
jéroboam;ʒe.ʁo.boam
jéroboams;ʒe.ʁo.boam
jéronimite;ʒe.ʁɔ.ni.mit
jéronimites;ʒe.ʁɔ.ni.mit
jés;ʒo.nɑtʁ
jésuate;ʒe.zy.at
jésuite;ʒe.zɥit
jésuites;ʒe.zɥit
jésuitesse;ʒe.zyi.tɛs
jésuitique;ʒe.zɥi.tik
jésuitiquement;ʒe.zɥi.ti.kə.mɑ̃
jésuitiques;ʒe.zɥi.tik
jésuitisâmes;ʒe.zɥi.ti.zam
jésuitisât;ʒe.zɥi.ti.za
jésuitisâtes;ʒe.zɥi.ti.zat
jésuitisèrent;ʒe.zɥi.ti.zɛʁ
jésuitisé;ʒe.zɥi.ti.ze
jésuitisée;ʒe.zɥi.ti.ze
jésuitisées;ʒe.zɥi.ti.ze
jésuitisés;ʒe.zɥi.ti.ze
jésuitisa;ʒe.zɥi.ti.za
jésuitisai;ʒe.zɥi.ti.ze
jésuitisaient;ʒe.zɥi.ti.zɛ
jésuitisais;ʒe.zɥi.ti.zɛ
jésuitisait;ʒe.zɥi.ti.zɛ
jésuitisant;ʒe.zɥi.ti.zɑ̃
jésuitisas;ʒe.zɥi.ti.za
jésuitisasse;ʒe.zɥi.ti.zas
jésuitisassent;ʒe.zɥi.ti.zas
jésuitisasses;ʒe.zɥi.ti.zas
jésuitisassiez;ʒe.zɥi.ti.za.sje
jésuitisassions;ʒe.zɥi.ti.za.sjɔ̃
jésuitise;ʒe.zɥi.tiz
jésuitisent;ʒe.zɥi.tiz
jésuitiser;ʒe.zɥi.ti.ze
jésuitisera;ʒe.zɥi.ti.zə.ʁa
jésuitiserai;ʒe.zɥi.ti.zə.ʁe
jésuitiseraient;ʒe.zɥi.ti.zə.ʁɛ
jésuitiserais;ʒe.zɥi.ti.zə.ʁɛ
jésuitiserait;ʒe.zɥi.ti.zə.ʁɛ
jésuitiseras;ʒe.zɥi.ti.zə.ʁa
jésuitiserez;ʒe.zɥi.ti.zə.ʁe
jésuitiseriez;ʒe.zɥi.ti.zə.ʁje
jésuitiserions;ʒe.zɥi.ti.zə.ʁjɔ̃
jésuitiserons;ʒe.zɥi.ti.zə.ʁɔ̃
jésuitiseront;ʒe.zɥi.ti.zə.ʁɔ̃
jésuitises;ʒe.zɥi.tiz
jésuitisez;ʒe.zɥi.ti.ze
jésuitisiez;ʒe.zɥi.ti.zje
jésuitisions;ʒe.zɥi.ti.zjɔ̃
jésuitisme;ʒe.zɥi.tism
jésuitismes;ʒo.nɑtʁ
jésuitisons;ʒe.zɥi.ti.zɔ̃
jésus;ʒe.zy
jézu;ʒy.dɔ.kat
jêg;da.lja
jômako;da.mis.tik
jômanao;da.mis.tik
jômanareo;da.mis.tik
jômanay;da.mis.tik
jômanjareo;da.mis.tik
jômantsika;da.mis.tik
jômany;da.mis.tik
jûpe;dʒɛʁk
j;ʒi
j';ʒ
jaïn;ʒa.in
jaïna;ʒak.ta.sjɔ̃
jaïne;ʒa.in
jaïnes;ʒa.in
jaïnique;ʒa.i.nik
jaïniques;ʒa.i.nik
jaïnisme;ʒai.nism
jaïniste;ʒa.i.nist
jaïns;ʒa.in
jaant;de.bi.pe
jaaxal;ʒi
jab;dʒab
jabet;ʒa.bɛ
jabibi;di.to
jabilaoko;da.mis.tik
jabilaona;du.bœʁ
jabilaonao;da.mis.tik
jabilaonareo;da.mis.tik
jabilaonay;da.mis.tik
jabilaonjareo;da.mis.tik
jabilaontsika;da.mis.tik
jabilaony;da.mis.tik
jabiru;ʒa.bi.ʁy
jabirus;ʒa.bi.ʁy
jablâmes;ʒab.lam
jablât;ʒab.la
jablâtes;ʒab.lat
jablèrent;ʒab.lɛʁ
jablé;ʒab.le
jablée;ʒab.le
jablées;ʒab.le
jablés;ʒab.le
jabla;ʒab.la
jablage;ʒab.laʒ
jablages;ʒab.laʒ
jablai;ʒab.le
jablaient;ʒab.lɛ
jablais;ʒab.lɛ
jablait;ʒab.lɛ
jablant;ʒab.lɑ̃
jablas;ʒab.la
jablasse;ʒab.las
jablassent;ʒab.las
jablasses;ʒab.las
jablassiez;ʒab.la.sje
jablassions;ʒab.la.sjɔ̃
jable;ʒabl
jablent;ʒabl
jabler;ʒab.le
jablera;ʒab.lə.ʁa
jablerai;ʒab.lə.ʁe
jableraient;ʒab.lə.ʁɛ
jablerais;ʒab.lə.ʁɛ
jablerait;ʒab.lə.ʁɛ
jableras;ʒab.lə.ʁa
jablerez;ʒab.lə.ʁe
jableriez;ʒab.lə.ʁje
jablerions;ʒab.lə.ʁjɔ̃
jablerons;ʒab.lə.ʁɔ̃
jableront;ʒab.lə.ʁɔ̃
jables;ʒabl
jablez;ʒab.le
jablière;ʒab.ljɛʁ
jabliez;ʒab.li.je
jablions;ʒab.li.jɔ̃
jablko;dœb
jabloir;ʒab.lwaʁ
jabloire;ʒab.lwaʁ
jabloires;ʒab.lwaʁ
jablons;ʒab.lɔ̃
jaborandi;ʒa.bɔ.ʁɑ̃.di
jabotâmes;ʒa.bɔ.tam
jabotât;ʒa.bɔ.ta
jabotâtes;ʒa.bɔ.tat
jabotèrent;ʒa.bɔ.tɛʁ
jaboté;ʒa.bɔ.te
jabot;ʒa.bo
jabota;ʒa.bɔ.ta
jabotage;ʒa.bɔ.taʒ
jabotages;ʒa.bɔ.taʒ
jabotai;ʒa.bɔ.te
jabotaient;ʒa.bɔ.tɛ
jabotais;ʒa.bɔ.tɛ
jabotait;ʒa.bɔ.tɛ
jabotant;ʒa.bɔ.tɑ̃
jabotas;ʒa.bɔ.ta
jabotasse;ʒa.bɔ.tas
jabotassent;ʒa.bɔ.tas
jabotasses;ʒa.bɔ.tas
jabotassiez;ʒa.bɔ.ta.sje
jabotassions;ʒa.bɔ.ta.sjɔ̃
jabote;ʒa.bɔt
jabotement;ʒa.bɔt.mɑ̃
jabotements;ʒa.bɔt.mɑ̃
jabotent;ʒa.bɔt
jaboter;ʒa.bɔ.te
jabotera;ʒa.bɔ.tə.ʁa
jaboterai;ʒa.bɔ.tə.ʁe
jaboteraient;ʒa.bɔ.tə.ʁɛ
jaboterais;ʒa.bɔ.tə.ʁɛ
jaboterait;ʒa.bɔ.tə.ʁɛ
jaboteras;ʒa.bɔ.tə.ʁa
jaboterez;ʒa.bɔ.tə.ʁe
jaboteriez;ʒa.bɔ.tə.ʁje
jaboterions;ʒa.bɔ.tə.ʁjɔ̃
jaboterons;ʒa.bɔ.tə.ʁɔ̃
jaboteront;ʒa.bɔ.tə.ʁɔ̃
jabotes;ʒa.bɔt
jaboteur;ʒa.bɔ.tœʁ
jaboteuse;ʒabotəz
jabotez;ʒa.bɔ.te
jabotière;ʒa.bɔ.te
jaboticaba;ʒa.bo.ti.ka.ba
jaboticabas;ʒa.bo.ti.ka.ba
jabotiez;ʒa.bɔ.tje
jabotions;ʒa.bɔ.tjɔ̃
jabotons;ʒa.bɔ.tɔ̃
jabots;ʒa.bo
jabottâmes;ʒa.bɔ.tam
jabottât;ʒa.bɔ.ta
jabottâtes;ʒa.bɔ.tat
jabottèrent;ʒa.bɔ.tɛʁ
jabotté;ʒa.bɔ.te
jabotta;ʒa.bɔ.ta
jabottai;ʒa.bɔ.te
jabottaient;ʒa.bɔ.tɛ
jabottais;ʒa.bɔ.tɛ
jabottait;ʒa.bɔ.tɛ
jabottant;ʒa.bɔ.tɑ̃
jabottas;ʒa.bɔ.ta
jabottasse;ʒa.bɔ.tas
jabottassent;ʒa.bɔ.tas
jabottasses;ʒa.bɔ.tas
jabottassiez;ʒa.bɔ.ta.sje
jabottassions;ʒa.bɔ.ta.sjɔ̃
jabotte;ʒa.bɔt
jabottent;ʒa.bɔt
jabotter;ʒa.bɔ.te
jabottera;ʒa.bɔ.tə.ʁa
jabotterai;ʒa.bɔ.tə.ʁe
jabotteraient;ʒa.bɔ.tə.ʁɛ
jabotterais;ʒa.bɔ.tə.ʁɛ
jabotterait;ʒa.bɔ.tə.ʁɛ
jabotteras;ʒa.bɔ.tə.ʁa
jabotterez;ʒa.bɔ.tə.ʁe
jabotteriez;ʒa.bɔ.tə.ʁje
jabotterions;ʒa.bɔ.tə.ʁjɔ̃
jabotterons;ʒa.bɔ.tə.ʁɔ̃
jabotteront;ʒa.bɔ.tə.ʁɔ̃
jabottes;ʒa.bɔt
jabottez;ʒa.bɔ.te
jabottiez;ʒa.bɔ.tje
jabottions;ʒa.bɔ.tjɔ̃
jabottons;ʒa.bɔ.tɔ̃
jacée;ʒa.lɔ.nœʁ
jacéinées;ʒa.se.i.ne
jacamar;ʒa.ka.maʁ
jacara;ʒa.ka.ʁa
jacaranda;ʒa.ka.ʁɑ̃.da
jacarandas;ʒa.ka.ʁɑ̃.da
jacarini;ʒa.ka.ʁi.ni
jacassâmes;ʒa.ka.sam
jacassât;ʒa.ka.sa
jacassâtes;ʒa.ka.sat
jacassèrent;ʒa.ka.sɛʁ
jacassé;ʒa.ka.se
jacassa;ʒa.ka.sa
jacassai;ʒa.ka.se
jacassaient;ʒa.ka.sɛ
jacassais;ʒa.ka.sɛ
jacassait;ʒa.ka.sɛ
jacassant;ʒa.ka.sɑ̃
jacassante;ʒa.ka.sɑ̃t
jacassantes;ʒa.ka.sɑ̃t
jacassants;ʒa.ka.sɑ̃
jacassas;ʒa.ka.sa
jacassasse;ʒa.ka.sas
jacassassent;ʒa.ka.sas
jacassasses;ʒa.ka.sas
jacassassiez;ʒa.ka.sa.sje
jacassassions;ʒa.ka.sa.sjɔ̃
jacasse;ʒa.kas
jacassement;ʒa.kas.mɑ̃
jacassements;ʒa.kas.mɑ̃
jacassent;ʒa.kas
jacasser;ʒa.ka.se
jacassera;ʒa.ka.sə.ʁa
jacasserai;ʒa.ka.sə.ʁe
jacasseraient;ʒa.ka.sə.ʁɛ
jacasserais;ʒa.ka.sə.ʁɛ
jacasserait;ʒa.ka.sə.ʁɛ
jacasseras;ʒa.ka.sə.ʁa
jacasserez;ʒa.ka.sə.ʁe
jacasserie;ʒa.kas.ʁi
jacasseries;ʒa.kas.ʁi
jacasseriez;ʒa.ka.sə.ʁje
jacasserions;ʒa.ka.sə.ʁjɔ̃
jacasserons;ʒa.ka.sə.ʁɔ̃
jacasseront;ʒa.ka.sə.ʁɔ̃
jacasses;ʒa.kas
jacasseurs;ʒa.ka.sœʁ
jacasseuse;ʒa.ka.søz
jacasseuses;ʒa.ka.søz
jacassez;ʒa.ka.se
jacassière;ʒa.ka.sjɛʁ
jacassiers;ʒa.ka.sje
jacassiez;ʒa.ka.sje
jacassions;ʒa.ka.sjɔ̃
jacassons;ʒa.ka.sɔ̃
jacent;ʒa.sɑ̃
jacents;ʒa.sɑ̃
jachère;ʒa.ʃɛʁ
jachèrent;ʒa.ʃɛʁ
jachèrera;ʒa.ʃɛ.ʁə.ʁa
jachèrerai;ʒa.ʃɛ.ʁə.ʁe
jachèreraient;ʒa.ʃɛ.ʁə.ʁɛ
jachèrerais;ʒa.ʃɛ.ʁə.ʁɛ
jachèrerait;ʒa.ʃɛ.ʁə.ʁɛ
jachèreras;ʒa.ʃɛ.ʁə.ʁa
jachèrerez;ʒa.ʃɛ.ʁə.ʁe
jachèreriez;ʒa.ʃɛ.ʁə.ʁje
jachèrerions;ʒa.ʃɛ.ʁə.ʁjɔ̃
jachèrerons;ʒa.ʃɛ.ʁə.ʁɔ̃
jachèreront;ʒa.ʃɛ.ʁə.ʁɔ̃
jachères;ʒa.ʃɛʁ
jachérâmes;ʒa.ʃe.ʁam
jachérât;ʒa.ʃe.ʁa
jachérâtes;ʒa.ʃe.ʁat
jachérèrent;ʒa.ʃe.ʁɛʁ
jachéré;ʒa.ʃe.ʁe
jachérée;ʒa.ʃe.ʁe
jachérées;ʒa.ʃe.ʁe
jachérés;ʒa.ʃe.ʁe
jachéra;ʒa.ʃe.ʁa
jachérai;ʒa.ʃe.ʁe
jachéraient;ʒa.ʃe.ʁɛ
jachérais;ʒa.ʃe.ʁɛ
jachérait;ʒa.ʃe.ʁɛ
jachérant;ʒa.ʃe.ʁɑ̃
jachéras;ʒa.ʃe.ʁa
jachérasse;ʒa.ʃe.ʁas
jachérassent;ʒa.ʃe.ʁas
jachérasses;ʒa.ʃe.ʁas
jachérassiez;ʒa.ʃe.ʁa.sje
jachérassions;ʒa.ʃe.ʁa.sjɔ̃
jachérer;ʒa.lu.zi
jachérera;ʒa.ʃɛ.ʁə.ʁa
jachérerai;ʒa.ʃɛ.ʁə.ʁe
jachéreraient;ʒa.ʃɛ.ʁə.ʁɛ
jachérerais;ʒa.ʃɛ.ʁə.ʁɛ
jachérerait;ʒa.ʃɛ.ʁə.ʁɛ
jachéreras;ʒa.ʃɛ.ʁə.ʁa
jachérerez;ʒa.ʃɛ.ʁə.ʁe
jachéreriez;ʒa.ʃɛ.ʁə.ʁje
jachérerions;ʒa.ʃɛ.ʁə.ʁjɔ̃
jachérerons;ʒa.ʃɛ.ʁə.ʁɔ̃
jachéreront;ʒa.ʃɛ.ʁə.ʁɔ̃
jachérez;ʒa.ʃe.ʁe
jachériez;ʒa.ʃe.ʁje
jachérions;ʒa.ʃe.ʁjɔ̃
jachérons;ʒa.ʃe.ʁɔ̃
jaci;de.ɛs.te
jacinthe;ʒa.sɛ̃t
jacinthes;ʒa.sɛ̃t
jaciste;ʒa.sist
jack;dʒak
jackal;ʒa.kal
jackets;ʒa.kɛ
jackette;ʒa.kɛt
jackettes;ʒa.kɛt
jackhammering;dep.ʁi.ve
jackpot;dʒak.pɔt
jackpots;dʒak.pɔt
jacks;dʒak
jacksonien;ʒak.sɔ.nɛsk
jacksonnesque;ʒak.sɔ.nɛsk
jacky;ʒa.ki
jackys;ʒa.ki
jacobée;ʒa.kɔ.be
jacobées;ʒa.kɔ.be
jacobien;ja.kɔ.bjɛ̃
jacobin;ʒa.kɔ.bɛ̃
jacobine;ʒa.kɔ.bin
jacobinière;ʒa.kɔ.bi.niɛʁ
jacobinisâmes;ʒa.kɔ.bi.ni.zam
jacobinisât;ʒa.kɔ.bi.ni.za
jacobinisâtes;ʒa.kɔ.bi.ni.zat
jacobinisèrent;ʒa.kɔ.bi.ni.zɛʁ
jacobinisé;ʒa.kɔ.bi.ni.ze
jacobinisée;ʒa.kɔ.bi.ni.ze
jacobinisées;ʒa.kɔ.bi.ni.ze
jacobinisés;ʒa.kɔ.bi.ni.ze
jacobinisa;ʒa.kɔ.bi.ni.za
jacobinisai;ʒa.kɔ.bi.ni.ze
jacobinisaient;ʒa.kɔ.bi.ni.zɛ
jacobinisais;ʒa.kɔ.bi.ni.zɛ
jacobinisait;ʒa.kɔ.bi.ni.zɛ
jacobinisant;ʒa.kɔ.bi.ni.zɑ̃
jacobinisas;ʒa.kɔ.bi.ni.za
jacobinisasse;ʒa.kɔ.bi.ni.zas
jacobinisassent;ʒa.kɔ.bi.ni.zas
jacobinisasses;ʒa.kɔ.bi.ni.zas
jacobinisassiez;ʒa.kɔ.bi.ni.za.sje
jacobinisassions;ʒa.kɔ.bi.ni.za.sjɔ̃
